category,datetime,headline,id,image,related,source,summary,url
company,1629134940,VeriSign Inc. stock outperforms competitors on strong trading day,69691042,https://images.mktw.net/im-220105/social,VRSN,MarketWatch,"Shares of VeriSign Inc. inched 0.55% higher to $210.60 Monday, on what proved to be an all-around favorable trading session for the stock market, with the...",https://finnhub.io/api/news?id=ec8e89f423f159d7fbffa5dc359497a3f5deb178a59eead1ba782e388ded6f29
company,1628875680,VeriSign Inc. stock underperforms Friday when compared to competitors,69664468,https://images.mktw.net/im-220105/social,VRSN,MarketWatch,"Shares of VeriSign Inc. shed 0.41% to $209.44 Friday, on what proved to be an all-around positive trading session for the stock market, with the S&P 500...",https://finnhub.io/api/news?id=12de42bd7269c27bfcd9b3244093ac44988f351c77694692674c11cb05006856
company,1628789280,VeriSign Inc. stock underperforms Thursday when compared to competitors,69664469,https://images.mktw.net/im-220105/social,VRSN,MarketWatch,"Shares of VeriSign Inc. slumped 0.68% to $210.30 Thursday, on what proved to be an all-around positive trading session for the stock market, with the S&P 500...",https://finnhub.io/api/news?id=78b5ba7863c617d6de5ea410a6159c29dfa632843372684563f1c37851b76e7b
company,1628702880,VeriSign Inc. stock underperforms Wednesday when compared to competitors,69664470,https://images.mktw.net/im-220105/social,VRSN,MarketWatch,"Shares of VeriSign Inc. slid 0.10% to $211.74 Wednesday, on what proved to be an all-around favorable trading session for the stock market, with the S&P 500...",https://finnhub.io/api/news?id=74c7d5631289178f55f9488b67fe575c79eefccf441141d9a87380598094506e
company,1628616480,"VeriSign Inc. stock falls Tuesday, underperforms market",69664471,https://images.mktw.net/im-220105/social,VRSN,MarketWatch,"Shares of VeriSign Inc. shed 1.13% to $211.96 Tuesday, on what proved to be an all-around positive trading session for the stock market, with the S&P 500...",https://finnhub.io/api/news?id=aa14e07f7a127005573daa7cd8b10fff89a9e4221a51286495f3a9e028e80eb0
company,1628530080,"VeriSign Inc. stock rises Monday, outperforms market",69664472,https://images.mktw.net/im-220105/social,VRSN,MarketWatch,"Shares of VeriSign Inc. inched 0.22% higher to $214.39 Monday, on what proved to be an all-around grim trading session for the stock market, with the S&P 500...",https://finnhub.io/api/news?id=34287356ef3d0c5d58f58994ee1019b046a7be0de1433ef24da117964b6b2f24
company,1628270880,"VeriSign Inc. stock falls Friday, underperforms market",69553413,https://images.mktw.net/im-220105/social,VRSN,MarketWatch,"Shares of VeriSign Inc. dropped 0.45% to $213.91 Friday, on what proved to be an all-around favorable trading session for the stock market, with the S&P 500...",https://finnhub.io/api/news?id=42ecd0bdbc2976f3d0c9abea25a416294a1a80f466558bbcbff8f427aac2d97f
company,1628184480,"VeriSign Inc. stock rises Thursday, still underperforms market",69553414,https://images.mktw.net/im-220105/social,VRSN,MarketWatch,"Shares of VeriSign Inc. inched 0.46% higher to $214.87 Thursday, on what proved to be an all-around great trading session for the stock market, with the S&P...",https://finnhub.io/api/news?id=624f2a0509ff8163c327449698af48e57ed61afe9f57fe642c684ef4872169d6
company,1628154960,"Verisign Inc (VRSN) President & COO Todd  B Strubbe Sold $643,260 of Shares",69547549,,VRSN,GuruFocus,,https://finnhub.io/api/news?id=210fdce22aad20fc1fe0a4dd05185118ab791e349c0070341f64b03d479b155d
company,1628098080,VeriSign Inc. stock underperforms Wednesday when compared to competitors,69507170,https://images.mktw.net/im-220105/social,VRSN,MarketWatch,"Shares of VeriSign Inc. sank 0.88% to $213.88 Wednesday, on what proved to be an all-around rough trading session for the stock market, with the S&P 500...",https://finnhub.io/api/news?id=071e125717b025fd47295baf99150def8dc335341da0efd1cf63950abcd1c696
