category,datetime,headline,id,image,related,source,summary,url
company,1629210062,"Moderna (MRNA) Begins Rare Disease Study, Inks Supply Agreement",69702537,https://s.yimg.com/uu/api/res/1.2/GmfbEz4tnrsvK9N__tbc6g--~B/aD00MDA7dz02MzU7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/zacks.com/e57c38ef2cab6e9081bde6f59c7a4095,VRTX,Yahoo,Moderna (MRNA) doses first patient in phase I/II study with mRNA-3705 for the treatment of a rare multi-organ disorder. The company also revises the supply agreement with the Canadian Government for its COVID vaccine.,https://finnhub.io/api/news?id=8d32099a61847d095851a87f7580c75144acc49ea44e11cb85892c261d5bffcc
company,1629208200,Wall Street Journal Creates A Pitch In Favor Of Royalty Pharma,69704915,https://cdn.benzinga.com/files/imagecache/og_image_social_share_1200x630/images/story/2012/aapharma_1515.png,VRTX,Benzinga,"Drug development, both a lucrative and a risky segment. Royalty Pharma plc (NASDAQ: RPRX) offers a middle ground for its investors.
The Company was founded in 1996 and...",https://finnhub.io/api/news?id=39af8641d00b11643bad1e1c86f68285532f30d02b7db4033e93b7dd87c101c4
company,1629172680,U.S. stocks lower at close of trade; Dow Jones Industrial Average down 0.79% By Investing.com,69716411,https://i-invdn-com.investing.com/news/LYNXMPEA6E0OG_L.jpg,VRTX,Investing.com,U.S. stocks lower at close of trade; Dow Jones Industrial Average down 0.79%,https://finnhub.io/api/news?id=9aec9ffb6c5cb04f56f4b17332e983a666ccbfa4525fa50c5368400fe656c639
company,1629134940,"Vertex Pharmaceuticals Inc. stock falls Monday, underperforms market",69685741,https://images.mktw.net/im-220105/social,VRTX,MarketWatch,"Shares of Vertex Pharmaceuticals Inc. shed 1.74% to $190.97 Monday, on what proved to be an all-around favorable trading session for the stock market, with...",https://finnhub.io/api/news?id=0b25cd31686fe2e81b589b3edc6aeac43978b24cc21e038143338af02077692f
company,1629117540,"Rhenman & Partners Asset Management AB Buys Biogen Inc, Veeva Systems Inc, Pfizer Inc, Sells Johnson & Johnson, Bristol-Myers Squibb Company, LivaNova PLC",69694645,,VRTX,GuruFocus,,https://finnhub.io/api/news?id=e3413dafe137a733b1098eac765d10e04a530d27798d04c6b7134cc3e56c4159
company,1629108180,Large Cap Biopharma Stocks provide Growth and Value,69681531,,VRTX,TalkMarkets,,https://finnhub.io/api/news?id=3b7f5e8c01a281dc2bb9d1b59a8a0c160feccdd7d5e8e9aacee1d01c840c2f53
company,1629107700,Buying Vertex Pharmaceuticals Stock Now Could Double Your Money Within 5 Years: Here's How,69683098,https://s.yimg.com/uu/api/res/1.2/uGtA88apVovsYGB269pbWg--~B/aD0xMDUwO3c9MTQwMDthcHBpZD15dGFjaHlvbg--/https://media.zenfs.com/en/motleyfool.com/87b637a88c2166eb5ea4cbca814c1ee4,VRTX,Yahoo,"If you bought shares of Vertex Pharmaceuticals (NASDAQ: VRTX) in August 2016 and held them, you'd have a gain of 92% right now.  The company was successful in the past in winning approvals for Kalydeco and Orkambi.",https://finnhub.io/api/news?id=a85f4fe0e9a4f61f97e97ecf51380256c06854f597e8dbeb67edb7966d3662f6
company,1629107460,5 No-Brainer Stocks to Invest $500 In Right Now,69678938,https://s.yimg.com/uu/api/res/1.2/Kgc7Y4rJfnyGz27xQWTYTg--~B/aD0xMDUwO3c9MTQwMDthcHBpZD15dGFjaHlvbg--/https://media.zenfs.com/en/motleyfool.com/019bc7c78b20d4f2f27d256767c0e7e6,VRTX,Yahoo,"The first no-brainer buy that could make long-term investors richer is specialty biotech stock Vertex Pharmaceuticals (NASDAQ: VRTX).  Vertex has lagged the broader market badly after two clinical treatments for alpha-1 antitrypsin deficiency were discontinued following mid-stage trials.  CF has no cure, but Vertex's four generations of therapies have helped to improve lung function for those who have CF.",https://finnhub.io/api/news?id=4845b61a2f00b8f82d9efa77a6a955d7b3fb3c37c403e6aa191a3e5e5897cad0
company,1629106740,"Bellevue Group AG Buys Vertex Pharmaceuticals Inc, Generation Bio Co, Tandem Diabetes Care Inc, Sells , Cigna Corp, Bristol-Myers Squibb Company",69697992,,VRTX,GuruFocus,,https://finnhub.io/api/news?id=ae810eaf6e292da497cc91092b75ba062feae11fea00700b69fbb30b892c63d4
company,1629099540,"Mayo Investment Advisers Llc Buys Vertex Pharmaceuticals Inc, Vistra Corp, Berkshire Hathaway Inc, Sells The Mosaic Co, Apple Inc, Alphabet Inc",69695182,,VRTX,GuruFocus,,https://finnhub.io/api/news?id=537804cb6b0b85ba8cb7805646926262eafef055c2c0751add40467a72981eaa
