category,datetime,headline,id,image,related,source,summary,url
company,1629126060,Analysts Love This Newly Formed Healthcare Company; Should You?,69681770,https://s.yimg.com/uu/api/res/1.2/k4Y_HyrSW13uyZepdbp3Rw--~B/aD05MzM7dz0xNDAwO2FwcGlkPXl0YWNoeW9u/https://media.zenfs.com/en/motleyfool.com/cdf586388ccd75a4cf0c1445d51fc562,VTRS,Yahoo,Viatris' steady operating results and cheap valuation are two key reasons for its high one-year price target.,https://finnhub.io/api/news?id=61ded8d27d437a4afec0d53f910f02cf6c944c4537977c43989142ea2d206f01
company,1629113940,"Edgewood Management Llc Buys NVIDIA Corp, Match Group Inc, Axcella Health Inc, Sells IHS Markit, Royalty Pharma PLC, Arrowhead Pharmaceuticals Inc",69694169,,VTRS,GuruFocus,,https://finnhub.io/api/news?id=5c9c743d3deb383f065817fc28eb85aa9d29ad3bc2c537406839004e30ae7fdf
company,1629092340,"Lumina Fund Management LLC Buys Seagen Inc, Taiwan Semiconductor Manufacturing Co, Xilinx Inc, Sells , Euronet Worldwide Inc, InMode",69694646,,VTRS,GuruFocus,,https://finnhub.io/api/news?id=497fdb7b0ff4520263efe0bc1f45ba06d6c6e5d8a93533513703fb5dde2faab7
company,1629085860,"Paulson buys Bally's, cuts Dish Network in Q2",69694374,,VTRS,Thefly.com,"John Paulson's Pauls... APA, RDS.A, BALY, BP, KSU, GLD, TAK, XLE, OXY, XOM, GOLD, SA, VTRS, PCRX, SD, DISH, BHC, HZNP, BSIG, NG",https://finnhub.io/api/news?id=dd71643bfc408d291277f4fe9e791bc8d9deadf456f880e8e6207fc30ca480c7
company,1629034749,Revance Therapeutics: Frowning At The FDA,69677042,,VTRS,SeekingAlpha,,https://finnhub.io/api/news?id=f21b5098409a1f883556c756f5d298df22581c078ea0a0684bc3093e2ab1f612
company,1628770920,VTRS October 1st Options Begin Trading,69655756,,VTRS,Stock Options Channel,"Staff article entitled VTRS October 1st Options Begin Trading, about stock options, from Stock Options Channel.",https://finnhub.io/api/news?id=8d0af3cbfe549a4b66739b4c8261204aa744a836b4bd27aabb2d299649a3b5a7
company,1628760240,Merck Spinoff Organon Is Supercheap and It Just Set a 3.7% Dividend Yield,69639173,https://images.barrons.com/im-349565/social,VTRS,MarketWatch,The healthcare company has the second-lowest price-to-earnings ratio in the S&P 500.,https://finnhub.io/api/news?id=6d89a7e612b86d9852a908efad6f8092e0cd5c7b369b0111b3a52e97e7bf5669
company,1628707140,Plant owner in talks with WVU to transfer shuttered facility,69636230,,VTRS,"Associated Press, The",Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=ca039565131274bb80a932c06bd6859d94c2638219049eaed80105791eec17dd
company,1628634427,Nicholas Ward's Dividend Growth Portfolio: July 2021 Update,69608093,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1272890161/medium_image_1272890161.jpg,VTRS,SeekingAlpha,My passive income was up 3.76% y/y in July. My portfolio's total returns were 3.74% in July.,https://finnhub.io/api/news?id=9292b486622e65aef54e6a42c2b3cb2115792462875bba67450d0553822ae847
company,1628622060,Dividend Stock Purchase: Lanny's July 2021 Summary,69605511,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1288664594/medium_image_1288664594.jpg,VTRS,SeekingAlpha,"The journey to financial freedom does not take breaks and one must continue to persevere through uncertainty, put cash to work and push that forward dividend income forward.",https://finnhub.io/api/news?id=16dc6c1909af52c87341abc2f01f757a780747847ece5a9777ff24bab8db92c4
