category,datetime,headline,id,image,related,source,summary,url
company,1629223500,"Will Google's Latest Product Move Threaten Apple, Samsung, Xiaomi?",69712669,https://cdn.benzinga.com/files/imagecache/og_image_social_share_1200x630/images/story/2012/bz_briefs.jpg,VZ,Benzinga,"Alphabet Inc (NASDAQ: GOOG) (NASDAQ: GOOGL) is targeting price-conscious shoppers with a smartphone that has a larger screen, water resistance, and a bigger battery,...",https://finnhub.io/api/news?id=2f0e1295ce94e3bce89a2f7a5a72e4ef5894d91fbf0db5299832e646bc59e77c
company,1629216000,Google Adds Larger Screen and Battery to Its Cheapest 5G Phone,69701216,,VZ,Yahoo,"(Bloomberg) -- Google’s latest entry-level 5G smartphone will offer a larger screen, water resistance and a bigger battery as the company tries to woo budget-minded shoppers and increase its modest market share.The $449 Pixel 5a costs $50 less than last year’s Pixel 4a 5G with a limited update of features and a small downgrade in 5G standards support. It’s still modeled on the idea of offering the flagship Pixel 5’s marquee features in a more affordable package. It inherits the dual-camera syste",https://finnhub.io/api/news?id=6b0a170f4317b02301dd8ad303258f2c000a3bdb941690864b7c415959b85ad0
company,1629172800,How to ���Front-Run��� Share Splits for Fast 40%+ Gains (and Surging Dividends),69695321,,VZ,The Online Investor,,https://finnhub.io/api/news?id=69010bbc196edc66ae24400fc8d700b027c0d9b14378e9b8859e3b89edc02a9d
company,1629171540,"Hutner Capital Management Inc Buys Verizon Communications Inc, Apple Inc, Alphabet Inc, Sells Novartis AG, PIMCO Municipal Income Fund II, British American Tobacco PLC",69716462,,VZ,GuruFocus,,https://finnhub.io/api/news?id=5e0c07305f8484f7144261a53490aedf3aa55fc23bebe3901cf3f25daff123ec
company,1629130440,Reports of Huge Customer Data Breach Send T-Mobile Stock Falling,69683711,https://s.yimg.com/uu/api/res/1.2/Q8qrp.T_yumynR.IASGsdw--~B/aD02NDA7dz0xMjgwO2FwcGlkPXl0YWNoeW9u/https://media.zenfs.com/en/Barrons.com/98b2e0227159f352f20115949c51b914,VZ,Yahoo,"T-Mobile US  is looking into a potential data hack that accessed its customers’ sensitive and personal information.  T-Mobile stock (ticker: TMUS) was down 3.5% in morning trading on Monday, at around $140.  The online publication Motherboard  reported on Sunday that customer data claiming to be from T-Mobile servers was for sale online, and a T-Mobile spokesperson confirmed to Barron’s on Monday that the company was investigating the matter.",https://finnhub.io/api/news?id=ecf317c9a25436e86bc48dfafff35a7836db22b777dc1d2293773bf8b388ada3
company,1629121352,5 Stocks Insiders Are Selling,69684143,https://s.yimg.com/uu/api/res/1.2/tb1cNV4LrWDDnMmvCG73eg--~B/aD00MDA7dz02MDA7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/Benzinga/50ac5d8d9be2e9f4b4923966f079baeb,VZ,Yahoo,"When insiders sell shares, it indicates their concern in the company’s prospects or that they view the stock as being overpriced. Either way, this signals an opportunity to go short on the stock. Insider sales should not be taken as the only indicator for making an investment or trading decision. At best, it can lend conviction to a selling decision. Below is a look at a few recent notable insider sales. For more, check out Benzinga's insider transactions platform. Carvana The Trade: Carvana Co.",https://finnhub.io/api/news?id=049abef9d00f598cbd753f3f5d433dbbf0c5fad3ce26b9a67f383f44effc2f5c
company,1629114660,T-Mobile US starts investigation after report of massive data breach,69682083,,VZ,Alliance News,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=5995025aa5ab4abcff70e3752467bd973478718fb093e5af1b1e4aebf6f2008c
company,1629113820,Telcos Lost the 4G Battle – and Could Lose the 5G War,69694757,https://investorplace.com/wp-content/uploads/2020/07/5g1600g.jpg,VZ,InvestorPlace,"As it continues to roll out, let's take a look at some companies that could come out behind due to the 5G revolution.",https://finnhub.io/api/news?id=afbb5af5722c8280dc406269387d7d445683b56bba9f8b83fdc438d68e69559f
company,1629108420,7 Telecom Stocks to Buy to Dial Out Market Anxiety,69681541,https://investorplace.com/wp-content/uploads/2019/08/telecom1600e.jpg,VZ,InvestorPlace,"With a low-interest rate environment and uncertainty about what lies next, telecom stocks offer a reasonably reliable opportunity.",https://finnhub.io/api/news?id=019aab144987f27627553aa59600f476e545b660846aff317f269a83b2a234d8
company,1629106920,5 Stocks Insiders Are Selling,69681202,https://cdn.benzinga.com/files/imagecache/og_image_social_share_1200x630/images/story/2012/insider-selling_8.jpg,VZ,Benzinga,"When insiders sell shares, it indicates their concern in the company’s prospects or that they view the stock as being overpriced. Either way, this signals an opportunity to...",https://finnhub.io/api/news?id=dd3e89af56f889936effaf73704934c8decdcd28cc40f9ab9023ecd48a6ea7ee
