category,datetime,headline,id,image,related,source,summary,url
company,1629088740,"Pzena Investment Management LLC Buys NRG Energy Inc, Westinghouse Air Brake Technologies Corp, Exxon Mobil Corp, Sells Viatris Inc, Morgan Stanley, TCF Financial Corp",69696726,,WAB,GuruFocus,,https://finnhub.io/api/news?id=a76bc99fdcd5b12d9931b01fb9638176b153fd7b4bcbf185631bfc8b5377c413
company,1629085140,"Franklin Resources Inc Buys Franklin Liberty U.S. Core Bond ETF, Franklin Liberty Investment Grade Corporate ETF, AbbVie Inc, Sells JPMorgan Chase, Bank of America Corp, Rio Tinto PLC",69695207,,WAB,GuruFocus,,https://finnhub.io/api/news?id=7471403d14c81e01846e64e20b174f2b47d88554a1b146275eecff9f77aef746
company,1628875740,Wabtec stock outperforms competitors despite losses on the day,69671352,https://images.mktw.net/im-220105/social,WAB,MarketWatch,"Shares of Wabtec slipped 0.10% to $88.91 Friday, on what proved to be an all-around positive trading session for the stock market, with the S&P 500 Index...",https://finnhub.io/api/news?id=cd92c123a921ad70395c3ad9481245b5a64711c7b0f47003d14bfceae236e459
company,1628868723,Wabtec (WAB) Picks John Olin to Succeed Pat Dugan as CFO,69657264,https://s.yimg.com/uu/api/res/1.2/5OPE8Z00DSyEqifOZbpTyg--~B/aD00MDA7dz02MzU7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/zacks.com/5a95b208d09dd1cba6e4b4d2cf742661,WAB,Yahoo,"Wabtec (WAB) chooses former chief financial officer of Harley-Davidson, John Olin, to succeed Pat Dugan, after he departs in the fourth quarter.",https://finnhub.io/api/news?id=4a6b99ca964c971e49948d8f5117d6b1f4b76ad824088d7cb60066a3f32af99a
company,1628865721,10 Stocks To Invest In According to Clint Murray’s Lodge Hill Capital,69654545,https://s.yimg.com/uu/api/res/1.2/wwGJ9vxzwe7jH6wO0F.1SQ--~B/aD01MDA7dz03NTA7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/insidermonkey.com/a1736860ba5597c44234e52f8b57cad2,WAB,Yahoo,"In this article, we will discuss the 10 best stocks to invest in according to Clint Murray’s Lodge Hill Capital based on Q1 portfolio of the fund. If you want to skip our detailed analysis of Murray’s history, investment philosophy, and hedge fund performance, go directly to the 5 Best Stocks to Invest In According to […]",https://finnhub.io/api/news?id=a8e6ed7511d522681057bc2c818ea3ac19d5c00cd697d7addca778dad557c64f
company,1628789340,Wabtec stock underperforms Thursday when compared to competitors,69643483,https://images.mktw.net/im-220105/social,WAB,MarketWatch,"Shares of Wabtec shed 0.41% to $89.00 Thursday, on what proved to be an all-around positive trading session for the stock market, with the S&P 500 Index...",https://finnhub.io/api/news?id=8904490a0d568ccbbce2b582dd9df7c296e56c542a44b480386c7f55d487f190
company,1628702940,"Wabtec stock rises Wednesday, outperforms market",69643484,https://images.mktw.net/im-220105/social,WAB,MarketWatch,"Shares of Wabtec rallied 1.99% to $89.49 Wednesday, on what proved to be an all-around great trading session for the stock market, with the S&P 500 Index...",https://finnhub.io/api/news?id=34d416a0b8abc85c103ce674a93e0bcfc8622a61c4692bfd2e48222d39902feb
company,1628683500,Wabtec Appoints John Olin to Executive Vice President and Chief Financial Officer,69613258,https://s.yimg.com/uu/api/res/1.2/gAwwgkRME9QY1ypnJRUqEw--~B/aD0xNjg7dz00ODA7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/business-wire.com/e596e0e3dae3552e14bfe72594489495,WAB,Yahoo,"PITTSBURGH, August 11, 2021--Wabtec Corporation (NYSE: WAB) today announced John Olin will be named Executive Vice President and Chief Financial Officer of the company, effective October 1, 2021. Olin will succeed Pat Dugan, who is leaving the company in the fourth quarter.",https://finnhub.io/api/news?id=faa3d6bd46163014a3f76aa6dd071e3fa95bf47c7c23c50f9b78a91a9f3d64e2
company,1628676540,Stocks That Hit 52-Week Highs On Wednesday,69615890,https://cdn.benzinga.com/files/imagecache/og_image_social_share_1200x630/sites/all/themes/bz2/images/bz-icon.png,WAB,Benzinga," 
 
During the morning session on Wednesday, 125 stocks hit new 52-week highs.
Interesting Facts:

Wells Fargo (NYSE:WFC) was the largest company by market cap to set a...",https://finnhub.io/api/news?id=aef3d109cff8e928070b7237eca805bef29958e584e71c20d37b43559a0c723b
company,1628670180,Wabtec Names John Olin as Incoming CFO,69643486,https://mw3.wsj.net/mw5/content/logos/mw_logo_social.png,WAB,MarketWatch,"By Matt Grossman Wabtec Corp. has hired John Olin as its next finance chief, the Pittsburgh-based railroad-equipment company said Wednesday. Mr. Olin will...",https://finnhub.io/api/news?id=fbd53cfda5b3fd953764f9e1ad1730d4245a1bae8fd5029673e95981cdf2f098
company,1628669100,Wabtec Appoints John Olin to Executive Vice President and Chief Financial Officer,69616726,,WAB,Business Wire,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=b9a11679c311863276676f640df6adf4ceb66cb38c8a56bd06ed288860f6b6db
company,1628665800,Wabtec appoints John Olin as CFO,69616627,,WAB,Thefly.com,"Wabtec (WAB) announced Jo... WAB, HOG",https://finnhub.io/api/news?id=5a439f447a169a55394d8d484e772fe9b5b89583086700813046fc25eb547dfe
company,1628616540,Wabtec stock underperforms Tuesday when compared to competitors despite daily gains,69643488,https://images.mktw.net/im-220105/social,WAB,MarketWatch,"Shares of Wabtec rose 1.14% to $87.74 Tuesday, on what proved to be an all-around positive trading session for the stock market, with the S&P 500 Index...",https://finnhub.io/api/news?id=88e8f41520475262d1e944a16f11c034371c623d448e4533d407a2fb6e79794c
