category,datetime,headline,id,image,related,source,summary,url
company,1629230947,Jim Cramer says Abbott Laboratories shares can go higher thanks to Covid delta surge,69709159,https://image.cnbcfm.com/api/v1/image/104816239-IMG_3584-jim-cramer.jpg?v=1509644302,WBA,CNBC,"""The tables have turned, the fortunes restored for Regeneron and Abbott Labs,"" the ""Mad Money"" host said.",https://finnhub.io/api/news?id=fd66f1d559e21739b4ee7e2e2ac305c538f69e4bc4822d45a4b3f1dcedf45c50
company,1629223145,Synchrony Financial's (SYF) Bank Issues Cards for Walgreens,69704838,https://s.yimg.com/uu/api/res/1.2/Fbx7tYt_FYh9Bb9XeNExJw--~B/aD00MDA7dz02MzU7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/zacks.com/02ced337774b592b5cbede20e1f497b9,WBA,Yahoo,Synchrony Financial (SYF) bank offers exclusive cards for Walgreens with lucrative rewards and a wide array of wellbeing choices.,https://finnhub.io/api/news?id=456676a9dd73d56fa8934ba33048c0084e34826dcd9bc818ba9176b240549c98
company,1629185580,6 Great Ways To Hedge Your Portfolio From The Pending Market Crash,69717147,,WBA,TalkMarkets,,https://finnhub.io/api/news?id=0b5e84094e6c34fdd4180b66ddc97d2092b23dd7f31c38165de9c252b0931116
company,1629116182,Walgreens launches healthy rewards credit card,69683001,https://s.yimg.com/ny/api/res/1.2/Um3Fl.92jNrYHh0s8UxrRg--/YXBwaWQ9aGlnaGxhbmRlcjt3PTIwMDA7aD0xMzMz/https://s.yimg.com/os/creatr-uploaded-images/2021-08/5cc22a30-fe8b-11eb-9ffd-337ca8718541,WBA,Yahoo,"Walgreens (WBA) is launching a new credit card program, with two cards focused on rewards for pharmacy purchases as well as swipes and taps for other health and wellness bills.",https://finnhub.io/api/news?id=a98486a56ca1b54fbd67bfadc7b9e4bb34a69b76f5b2ec73af5a7f760a2887a6
company,1629115200,Walgreens Launches Industry-First myWalgreens Credit Card Program – The Credit Card That Pays Well to Stay Well®,69683002,https://s.yimg.com/uu/api/res/1.2/gdfQTXahG7PRsaz4fhXDmg--~B/aD0zMjI7dz00ODA7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/business-wire.com/3e1564ad26ff6a49b5649449c6d9f0d6,WBA,Yahoo,"DEERFIELD, Ill. & STAMFORD, Conn., August 16, 2021--Walgreens (Nasdaq: WBA) today introduced the new myWalgreens Credit Card program, featuring two industry-first retail health and wellness credit cards, issued by Synchrony Bank (NYSE: SYF). The myWalgreens Mastercard and the myWalgreens Credit Card are the first ever of their kind to reward more personalized wellbeing choices and offer industry-leading rewards at more than 9,000 Walgreens locations, Walgreens.com, Duane Reade stores, via the Wa",https://finnhub.io/api/news?id=36601ae1dc57b4abdd55ccf6842cbddf8d6d2c8859d05ac977d62404c33fbbf5
company,1629100800,Walgreens Launches Industry-First myWalgreens Credit Card Program – The Credit Card That Pays Well to Stay Well®,69679400,,WBA,Business Wire,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=7d4050d68c317b2593431e3f34ec38f7a8d5e58eb83817dad35f730aca9a8ea8
company,1629099540,"Wellington Shields Capital Management, LLC Buys Illinois Tool Works Inc, The Duckhorn Portfolio Inc, AppHarvest Inc, Sells Microsoft Corp, SPDR Gold Shares ETF, Amgen Inc",69694930,,WBA,GuruFocus,,https://finnhub.io/api/news?id=b27ba601c2d2e990c8e0b3ef98d43616a2397556144e0ae4874a3f54799105d6
company,1629099540,"CAMG Solamere Management, LLC Buys Royal Dutch Shell PLC, AT&T Inc, Albertsons Inc, Sells Lam Research Corp, Exxon Mobil Corp, VanEck Vectors Junior Gold Miners ETF",69696061,,WBA,GuruFocus,,https://finnhub.io/api/news?id=6b9414584f21bea3a250c1b5c67fc67b03c6600bbecb0fd2686958f06953cd52
company,1629027000,"Upcoming Ex-Dividend Dates: August 17-30, 2021",69676325,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1164904198/medium_image_1164904198.jpg,WBA,SeekingAlpha,We provide a summary of upcoming ex-dividend dates. Check out these dividend stocks from our list which includes relevant data and key statistics.,https://finnhub.io/api/news?id=bfbb2937babefb37876fbc2957e086e25382fb7c913a73dd6fc70fdc2c775325
company,1629015400,Walgreens Boots Alliance's (NASDAQ:WBA) Shareholders Will Receive A Bigger Dividend Than Last Year,69676371,,WBA,Yahoo,"Walgreens Boots Alliance, Inc. ( NASDAQ:WBA ) will increase its dividend on the 10th of September to US$0.48. This...",https://finnhub.io/api/news?id=5f58af584388beafafded71cab9935776821e2364a62d18858bea8d6f9651f73
