category,datetime,headline,id,image,related,source,summary,url
company,1628686415,Should You Be Adding WEC Energy Group (NYSE:WEC) To Your Watchlist Today?,69623465,https://s.yimg.com/uu/api/res/1.2/naUy9BSoI62CZsfZfNs5GQ--~B/aD00MzI7dz0xMTk0O2FwcGlkPXl0YWNoeW9u/https://media.zenfs.com/en/simply_wall_st__316/e44b48510541f08ce6d7c1a7b2f6b239,WEC,Yahoo,"Some have more dollars than sense, they say, so even companies that have no revenue, no profit, and a record of falling...",https://finnhub.io/api/news?id=9e6c131863b77017aebc9bd9f1e606bf6d6720bf6eb61f87acd40c01ce73b9a2
company,1628588100,"Ex-Dividend Reminder: WEC Energy Group, Exelon and Middlesex Water",69597148,,WEC,Dividend Channel,"dividend channel,WEC,EXC,MSEX,",https://finnhub.io/api/news?id=df65ec5eb3b540475a2787ffa9ebf46e122e50816189e752f8cd869b75a3a2b1
company,1628530140,"WEC Energy Group Inc. stock rises Monday, outperforms market",69590646,https://images.mktw.net/im-220105/social,WEC,MarketWatch,"Shares of WEC Energy Group Inc. inched 0.02% higher to $96.33 Monday, on what proved to be an all-around poor trading session for the stock market, with the...",https://finnhub.io/api/news?id=20e6e9307cf12c5b0baa2eea5c07ea35375f9086941d2fdcb78bfa485095e53b
company,1628388424,Dividend Champion And Contender Highlights: Week Of August 8,69568615,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1072593728/medium_image_1072593728.jpg,WEC,SeekingAlpha,A weekly summary of dividend activity for Dividend Champions and Contenders. Companies which changed their dividends. Companies with upcoming ex-dividend dates.,https://finnhub.io/api/news?id=f26cffbb3af02ff855098aafb565db5f260e504cd2b34119cf37f99869e96bb4
company,1628270940,WEC Energy Group Inc. stock outperforms competitors despite losses on the day,69574724,https://images.mktw.net/im-220105/social,WEC,MarketWatch,"Shares of WEC Energy Group Inc. slumped 0.18% to $96.31 Friday, on what proved to be an all-around favorable trading session for the stock market, with the...",https://finnhub.io/api/news?id=87db585738fe1da35102b86c151e3a3e0fe9dcb878c27757855ceab5b3d23835
company,1628184540,"WEC Energy Group Inc. stock rises Thursday, outperforms market",69530988,https://images.mktw.net/im-220105/social,WEC,MarketWatch,"Shares of WEC Energy Group Inc. inched 0.68% higher to $96.48 Thursday, on what proved to be an all-around positive trading session for the stock market,...",https://finnhub.io/api/news?id=39919c8b0e1a3de0e90805517aca9570899640b64a237d18fb75e4c6a34011e7
company,1628172000,United Way of Metro Chicago announces United Neighborhoods Equity Fund,69541403,,WEC,PR Newswire,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=24135d566adf510c7cb25d99a392afde52e3602a1e02be6143bfa1e82ee4f19e
company,1628098140,WEC Energy Group Inc. stock outperforms market on strong trading day,69527796,https://images.mktw.net/im-220105/social,WEC,MarketWatch,"Shares of WEC Energy Group Inc. inched 0.23% higher to $95.83 Wednesday, on what proved to be an all-around rough trading session for the stock market, with...",https://finnhub.io/api/news?id=6e1f667011d56c759207f944ebff91e8768898303c6f832ab59cecd1d03ee8c3
company,1628096705,"WEC Energy's (WEC) Q2 Earnings Beat Mark, Revenues Rise Y/Y",69500303,https://s.yimg.com/uu/api/res/1.2/hW4eVEqvD1PC9.jVQAoI_g--~B/aD00MDA7dz02MzU7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/zacks.com/a3fb7a04f19defa80465e7d44efab77c,WEC,Yahoo,"WEC Energy's (WEC) Q2 earnings and revenues impress investors with better-than-estimated results. Also, both increase on a year-over-year basis.",https://finnhub.io/api/news?id=552d35b7dfb98e435d55d5fd90dda540684f8d9f1bc15b22f729d1a5c149e287
company,1628064780,High Yield Dividend Stocks For August 2021,69487741,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/480761398/medium_image_480761398.jpg,WEC,SeekingAlpha,There are 24 High-Yield Dividend Stocks on the August 2021 watchlist. The watchlist gained 1.54% in July and is up over 37% since November 2020. Read more here.,https://finnhub.io/api/news?id=63ad8ee834ddc461b2dc0f6c7cbab405bb0555987b8c489a2b1afa73b9d6c9c1
company,1628042464,"WEC Energy Group, inc (WEC) Q2 2021 Earnings Call Transcript",69483945,,WEC,Yahoo,"WEC earnings call for the period ending July 31, 2021.",https://finnhub.io/api/news?id=5eea04f939c39511212722e82b8ec0d441d0e0af08a4f004f3f24f9b6230cade
company,1628018443,"WEC Energy Group, Inc. (WEC) CEO Kevin Fletcher on Q2 2021 Results - Earnings Call Transcript",69478960,https://static.seekingalpha.com/assets/og_image_1200-29b2bfe1a595477db6826bd2126c63ac2091efb7ec76347a8e7f81ba17e3de6c.png,WEC,SeekingAlpha,"WEC Energy Group, Inc. (NYSE:WEC) Q2 2021 Results Conference Call August 3, 2021 2:00 PM ET Company Participants Kevin Fletcher – President and Chief Executive Officer Scott Lauber – Senior...",https://finnhub.io/api/news?id=a823f40e122b2ca6b775d6421bcd8d33ebe54e5b986e2ff15e6697548a45176c
company,1628011740,WEC Energy Group Inc. stock outperforms market on strong trading day,69480015,https://images.mktw.net/im-220105/social,WEC,MarketWatch,"Shares of WEC Energy Group Inc. inched 0.96% higher to $95.61 Tuesday, on what proved to be an all-around great trading session for the stock market, with...",https://finnhub.io/api/news?id=57493da8c71d87aac420898817fd5f442ac27cca35f76347d22b05fcd2e4b46b
company,1627994112,WEC Energy Group (WEC) Beats Q2 Earnings and Revenue Estimates,69467346,https://s.yimg.com/uu/api/res/1.2/nxwFIPS2ImeTQYZMYlnAgg--~B/aD02MDA7dz05MDA7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/zacks.com/1a018a29aef5adbf5b4319f32058e209,WEC,Yahoo,"WEC Energy (WEC) delivered earnings and revenue surprises of 10.13% and 2.14%, respectively, for the quarter ended June 2021. Do the numbers hold clues to what lies ahead for the stock?",https://finnhub.io/api/news?id=0c6e60ef1b885c040902d5bfeaeed34dceb44ae7d3ba0fe1d7175cd3a588cf23
