category,datetime,headline,id,image,related,source,summary,url
company,1629128656,Welltower - The Time To Trim Your Position Is Afoot,69684109,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/183059807/medium_image_183059807.jpg,WELL,SeekingAlpha,Welltower delivered $1.59 normalized FFO per share for the first half of 2021. This is a long way from where it needs to be to justify the current price.,https://finnhub.io/api/news?id=d3ab3c7fb0b21e0dd01d3475e6b0749f03dc5dcd0651c51127cd6150ba111881
company,1629095940,"Cbre Clarion Securities Llc Buys Welltower Inc, Sunstone Hotel Investors Inc, Essex Property Trust Inc, Sells VEREIT Inc, Life Storage Inc, Hilton Worldwide Holdings Inc",69694323,,WELL,GuruFocus,,https://finnhub.io/api/news?id=7cf49b56abcbd2fad2c5bd717a18c93a3b5da8544b2835f9ad80bc67b3d124f5
company,1628875740,"Welltower Inc. stock rises Friday, outperforms market",69663641,https://images.mktw.net/im-220105/social,WELL,MarketWatch,"Shares of Welltower Inc. rose 1.64% to $85.11 Friday, on what proved to be an all-around positive trading session for the stock market, with the S&P 500...",https://finnhub.io/api/news?id=6f5fb3b4f72592019760ef409668466d3b5670f6351e0893e1ca8f87b7222172
company,1628789340,"Welltower Inc. stock falls Thursday, underperforms market",69645936,https://images.mktw.net/im-220105/social,WELL,MarketWatch,"Shares of Welltower Inc. sank 0.25% to $83.74 Thursday, on what proved to be an all-around positive trading session for the stock market, with the S&P 500...",https://finnhub.io/api/news?id=f664f8bdaae3121821d11a3025c1847fa68dc1bab32d90e7dd555c7204509973
company,1628749800,WELL Health Achieves Record Revenue and Adjusted EBITDA in Q2-2021; with 484% YoY Revenue Growth; and 615% Growth in its Adjusted Gross Profit,69633650,,WELL,PR Newswire,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=53a8acd4eb6afbfd9b78d40ad1bf02ed79fec719c3eeabae86de862ac0d2cb99
company,1628741640,"Earnings Scheduled For August 12, 2021",69635343,https://cdn.benzinga.com/files/imagecache/og_image_social_share_1200x630/images/story/2012/earnings_scheduled_1921.png,WELL,Benzinga," 
Companies Reporting Before The Bell
• Anavex Life Sciences (NASDAQ:AVXL) is estimated to report earnings for its third quarter.
• ITeos Therapeutics (NASDAQ:ITOS...",https://finnhub.io/api/news?id=27b528142da8a219c8da8584076c5f36f9713ffdc02cd17f1b0945abc758df6c
company,1628702940,Welltower Inc. stock underperforms Wednesday when compared to competitors,69623890,https://images.mktw.net/im-220105/social,WELL,MarketWatch,"Shares of Welltower Inc. shed 0.57% to $83.95 Wednesday, on what proved to be an all-around positive trading session for the stock market, with the S&P 500...",https://finnhub.io/api/news?id=041f4edb626727e00340bec21749a0dc2aaf9cd064d2813162950e8f0a6b3909
company,1628662920,Welltower price target raised to $96 from $88 at KeyBanc,69616258,,WELL,Thefly.com,KeyBanc analyst Jordan Sa... WELL,https://finnhub.io/api/news?id=dbd23dd272737b6cb6445db782c771514a5bc88cd6bcae9dd2f25a4fb8837b39
company,1628616540,Welltower Inc. stock outperforms competitors despite losses on the day,69614312,https://images.mktw.net/im-220105/social,WELL,MarketWatch,"Shares of Welltower Inc. slipped 0.61% to $85.04 Tuesday, on what proved to be an all-around great trading session for the stock market, with the S&P 500...",https://finnhub.io/api/news?id=76c9ed55461f4d706151eb43c3c920a0ccfa711e91b519c5fbc0c206bf69dfa4
company,1628578800,WELL Health Announces Conference Call for Second Quarter 2021 Financial Results,69597543,,WELL,PR Newswire,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=ae76c4d382f2bf3e516fe0dc43be5b62ab69927b8bfbc0609a3ab47ae7d2d6f8
company,1628530140,"Welltower Inc. stock rises Monday, outperforms market",69586467,https://images.mktw.net/im-220105/social,WELL,MarketWatch,"Shares of Welltower Inc. inched 0.45% higher to $85.56 Monday, on what proved to be an all-around rough trading session for the stock market, with the S&P...",https://finnhub.io/api/news?id=aaf727c3d2480bba11079aa58525d9e8a5392b1c99a239fe1ea5d9c844f436b1
company,1628420400,"Rents Paid, Dividends Raised",69570916,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/614972576/medium_image_614972576.jpg,WELL,SeekingAlpha,Real estate equities continued their strong performance; 9 more REITs announced dividend increases this week. Click here to read our Real Estate Weekly Outlook.,https://finnhub.io/api/news?id=5bd64a26e8db948088bb32df2ee90e211c4b4d89428b89f1b319d43a190d733a
company,1628411089,"3 Strong Buys For A Rich Retirement, Up To 9% Yield",69570110,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1227594879/medium_image_1227594879.jpg,WELL,SeekingAlpha,"In this article, I highlight 3 compelling buys with high dividends that are well covered. Check out what makes them standout amongst their respective peer groups.",https://finnhub.io/api/news?id=f4c1b4c1694f2d2c11cc3e6448a8824b5d91bfdf0d8c0213f9ee2500e1eafcc8
company,1628270940,"Welltower Inc. stock falls Friday, underperforms market",69573771,https://images.mktw.net/im-220105/social,WELL,MarketWatch,"Shares of Welltower Inc. slid 1.62% to $85.18 Friday, on what proved to be an all-around positive trading session for the stock market, with the S&P 500...",https://finnhub.io/api/news?id=706c32e1779cca42241ec8f7e41d04ca2f24833fd71634231811513bb1b442e4
company,1628244000,REIT Earnings Recap: Mega-Mergers And Roaring Rents,69542053,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1149958306/medium_image_1149958306.jpg,WELL,SeekingAlpha,REIT earnings season has provided critical information on the state of the real estate industry. Read more to see how the REITs have performed in 2Q.,https://finnhub.io/api/news?id=2e6f53833aad9ecff9c36fe5a765d5cdfc8f68121a17c4456734c143bc7edacc
company,1628233200,WELL Health to Present at Canaccord Genuity's 41st Annual Growth Conference,69545706,,WELL,PR Newswire,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=2a8e678eb494a858093eb83c7d3a239ff95a0ecc6c5c932d9e5bc86198ff8276
company,1628200259,10 Real Estate Dividend Stocks to Buy in August 2021,69531264,https://s.yimg.com/uu/api/res/1.2/9EFbyhQ9MDsa8HjB6vpejg--~B/aD01MDA7dz03NTA7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/insidermonkey.com/7ed881f6cc01e92039086cf1b5fae8b6,WELL,Yahoo,"In this article, we will be looking at 10 real estate dividend stocks to buy in August 2021. You can skip our detailed analysis of the real estate industry, and go directly to the 5 Real Estate Dividend Stocks to Buy in August 2021. While the industry outlook for real estate and REITs in 2021 […]",https://finnhub.io/api/news?id=041a1d156635ca367b31984f4e36a3e750054c7f59600b4e8c77f6fa9f484292
company,1628189804,Cramer's lightning round: I like Golden Nugget Online Gaming,69533933,https://image.cnbcfm.com/api/v1/image/104548461-RTX1ILBY.jpg?v=1529452319,WELL,CNBC,"""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed.",https://finnhub.io/api/news?id=71a5a7aede188ed8ef450bca5bd0ea303a93c073c662afb6b68ba7e1a0cbfd9e
company,1628184540,"Welltower Inc. stock rises Thursday, outperforms market",69539026,https://images.mktw.net/im-220105/social,WELL,MarketWatch,"Shares of Welltower Inc. advanced 1.74% to $86.58 Thursday, on what proved to be an all-around great trading session for the stock market, with the S&P 500...",https://finnhub.io/api/news?id=aba9eac017c3f1972b00e867eec611999b7ea9b381b61a84014cbd354f3f705a
company,1628135700,Welltower management to meet with KeyBanc,69522408,,WELL,Thefly.com,1:1 Meetings with CEO Mit... WELL,https://finnhub.io/api/news?id=179a569e2710730f11bd4f5bb15326d802fcf6bb2154bd13bc74d6a0a6ea9949
company,1628098140,Welltower Inc. stock underperforms Wednesday when compared to competitors,69539027,https://images.mktw.net/im-220105/social,WELL,MarketWatch,"Shares of Welltower Inc. shed 2.31% to $85.10 Wednesday, on what proved to be an all-around poor trading session for the stock market, with the S&P 500 Index...",https://finnhub.io/api/news?id=65f39f11eab5f79fa23ae0e8377de2bb86b7724f191ab402cf8397da59f0ebf3
company,1628011740,Welltower Inc. stock outperforms market on strong trading day,69539028,https://images.mktw.net/im-220105/social,WELL,MarketWatch,"Shares of Welltower Inc. inched 0.97% higher to $87.11 Tuesday, on what proved to be an all-around positive trading session for the stock market, with the...",https://finnhub.io/api/news?id=6950088b9d1782939e9cf7ccd2fb4af6c22abe67c0eaf5d2c21c5eb2771160fd
company,1627974000,WELL's CRH Medical Acquires Majority Stake in Greater Washington Anesthesia,69471252,,WELL,PR Newswire,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=6846e3f2ba6b99520688b281e1681d52941b3dac969ac0a6f9a6aca778d0b3e4
company,1627968360,Welltower upgraded to Buy from Hold at Berenberg,69471253,,WELL,Thefly.com,Berenberg analyst Connor ... WELL,https://finnhub.io/api/news?id=e7eb04bdf6ddadc679e2fee83d3fa9403426f6fa2dc9dc077334d01f3b32152d
company,1627925340,Welltower Inc. stock outperforms competitors despite losses on the day,69460711,https://images.mktw.net/im-220105/social,WELL,MarketWatch,"Shares of Welltower Inc. slid 0.68% to $86.27 Monday, on what proved to be an all-around poor trading session for the stock market, with the S&P 500 Index...",https://finnhub.io/api/news?id=bc3a7048810106433c937826ad06aed3b88eab502e0fea99204c959b384afc54
company,1627906920,Welltower management to meet with KeyBanc,69471254,,WELL,Thefly.com,1:1 Meetings with CEO Mit... WELL,https://finnhub.io/api/news?id=3936dbbeb82febd21c6e08146dc7a3aeab160951ad0eb02ace230803829e527e
company,1627812000,"Mandates, Inflation, And Earnings",69431314,,WELL,SeekingAlpha,,https://finnhub.io/api/news?id=ca4cad8fa68094cd16e53eca92eb601e02b528defb145fc199de27a9b073fe47
company,1627711265,Welltower (WELL) Q2 2021 Earnings Call Transcript,69422126,https://s.yimg.com/uu/api/res/1.2/zmj.74VZmDKFyMQXCAbujg--~B/aD0xNDk0O3c9MTQwMDthcHBpZD15dGFjaHlvbg--/https://media.zenfs.com/en/motleyfool.com/e48e86dda35543079ee2080fd9208b73,WELL,Yahoo,"WELL earnings call for the period ending June 30, 2021.",https://finnhub.io/api/news?id=1824ee9297ce8d440292ad08883581c1a8a73a718ba8b0147523054d15235326
company,1627666140,Welltower Inc. stock underperforms Friday when compared to competitors,69460713,https://images.mktw.net/im-220105/social,WELL,MarketWatch,"Shares of Welltower Inc. slumped 0.99% to $86.86 Friday, on what proved to be an all-around rough trading session for the stock market, with the S&P 500...",https://finnhub.io/api/news?id=72fb3a5099dad318da6432caaa071dac5bcaaac6d35d8b06f2c141cddf6200d5
company,1627661178,Welltower Inc. (WELL) CEO Shankh Mitra on Q2 2021 Results - Earnings Call Transcript,69414254,https://static.seekingalpha.com/assets/og_image_1200-29b2bfe1a595477db6826bd2126c63ac2091efb7ec76347a8e7f81ba17e3de6c.png,WELL,SeekingAlpha,"Welltower Inc. (NYSE:WELL) Q2 2021 Earnings Conference Call July 30, 2021 9:00 AM ET Company Participants Matt McQueen - General Counsel Shankh Mitra - Chief Executive Officer and Chief...",https://finnhub.io/api/news?id=479d342075467d97050987ee8a23c2f2d6c053276b3f5733037c86625f8a4fd4
company,1627649832,"Welltower (WELL) Beats on Q2 FFO and Revenues, Forms 2 JVs",69412713,https://s.yimg.com/uu/api/res/1.2/k801.RUJ07Ee7atwPd.DSQ--~B/aD00MDA7dz02MzU7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/zacks.com/f54f709ae65e32f6086a21eeef8d44f3,WELL,Yahoo,"Concurrent with Q2 results that reflect seniors housing occupancy expansion, Welltower (WELL) agrees to expand footprint through joint ventures.",https://finnhub.io/api/news?id=19bdd0c7e17abb4646b7c67826932e9c2c951c90d3cbde93a4dd41ad035f57d0
company,1627638300,Beat And Boost: REIT Earnings Halftime Report,69404605,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1225158464/medium_image_1225158464.jpg,WELL,SeekingAlpha,We're now at the halfway point of another newsworthy real estate earnings season. Results have so far been as impressive as any REIT earnings season in recent memory.,https://finnhub.io/api/news?id=943f7253a5d730aa79c1957e7c8aff72fc073506c85b547daa0f2fd052c79d87
company,1627596310,Welltower (WELL) Q2 FFO and Revenues Surpass Estimates,69396008,https://s.yimg.com/uu/api/res/1.2/e0VWXB5.wUFiKGuJPPpLzg--~B/aD02MDA7dz05MDA7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/zacks.com/a7cdcede0bb5a646be035f4a7e678781,WELL,Yahoo,"Welltower (WELL) delivered FFO and revenue surprises of 2.60% and 3.30%, respectively, for the quarter ended June 2021. Do the numbers hold clues to what lies ahead for the stock?",https://finnhub.io/api/news?id=e94bcf3008fe11ff707e66282ab5c81f32be40729d6a784490c205458c23105b
company,1627589100,Welltower Reports Second Quarter 2021 Results,69390733,https://s.yimg.com/uu/api/res/1.2/pMhyPX57B4ELi3ng3gxwgQ--~B/aD0xMDA7dz00MDA7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/prnewswire.com/fecc02cb8ad1d4d40616fe0825a2be2a,WELL,Yahoo,"Welltower Inc. (NYSE:WELL) today announced results for the quarter ended June 30, 2021.",https://finnhub.io/api/news?id=138991da13281c4b93690132396aa336730d5bca0d50b1bb67ff7b287d68394f
