category,datetime,headline,id,image,related,source,summary,url
company,1629164340,"Falcon Edge Capital LP Buys Willis Towers Watson PLC, Equity Distribution Acquisition Corp, ATAI Life Sciences NV, Sells Vipshop Holdings, Pioneer Merger Corp, Silver Spike Acquisition Corp",69716946,,WLTW,GuruFocus,,https://finnhub.io/api/news?id=73f314fead6b801250dca6a135acce84d5fd4dc84a83f3e8dee783c9dbb1a434
company,1629135845,Aon (AON) Hits 52 Week High: More Room for Upside Left?,69684449,https://s.yimg.com/uu/api/res/1.2/m7h8AcPROMromz5UJ5.5yQ--~B/aD00MDA7dz02MzU7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/zacks.com/76de46512b6b2ed03cb613b33bb84828,WLTW,Yahoo,Aon's (AON) shares rally as investors get optimistic about its latest strategic initiatives and solid second-quarter results.,https://finnhub.io/api/news?id=0cb0caf5f57e2c7b625f54698f08e7d4b1c8fe6c730dcc742f930b6dedeea7a9
company,1629124202,Arthur J. Gallagher (AJG) to Buy Willis Re for $3.25B in Cash,69683689,https://s.yimg.com/uu/api/res/1.2/3hLFtzFdSMTZy1vsxqmdeA--~B/aD00MDA7dz02MzU7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/zacks.com/39e8cb7827f15e34f36d30f31180c5db,WLTW,Yahoo,Arthur J. Gallagher's (AJG) pending buyout of Willis Re will position Gallagher Re as one of the top three reinsurance brokers.,https://finnhub.io/api/news?id=6d7730dc410f28e6710f18e8ce3f547746b06293862f9101feabed4d64c9d715
company,1629117482,UPDATE 1-Willis Towers Watson says insider Carl Hess to be next CEO,69684451,https://s.yimg.com/cv/apiv2/social/images/yahoo_default_logo-1200x1200.png,WLTW,Yahoo,"Insurance broker Willis Towers Watson said on Monday company insider Carl Hess would be its next CEO and president, weeks after the collapse of a planned $30 billion merger with rival Aon Plc.  Hess, who currently heads the firm's investment, risk and reinsurance segment, will take over the chief executive officer role on Jan. 1 after the retirement of John Haley.  Willis and London-based rival Aon called off their merger following an ""impasse"" with the U.S. Department of Justice.",https://finnhub.io/api/news?id=6475cc523cd8362e6ec6983927dda7a0732b10c4fd9e33a47cffe96c7ba43e33
company,1629115200,Willis Towers Watson selects Carl Hess as President and Future CEO,69684452,https://s.yimg.com/uu/api/res/1.2/yyXodI9EBs8bl0neV221WQ--~B/aD01Nzt3PTI5MjthcHBpZD15dGFjaHlvbg--/https://media.zenfs.com/en/globenewswire.com/019116a49bc7d65cd99ae57ab0ed6600,WLTW,Yahoo,"ARLINGTON, Va., Aug. 16, 2021 (GLOBE NEWSWIRE) -- Willis Towers Watson (NASDAQ: WLTW), a leading global advisory, broking and solutions company, today announced that its board of directors has unanimously selected Carl Hess as the company’s new president and next chief executive officer (CEO). Hess, who currently serves as Willis Towers Watson’s Head of Investment, Risk and Reinsurance business segment, will immediately assume the president role and succeed John Haley, upon his retirement, as CE",https://finnhub.io/api/news?id=45054dd86b39681be6f83b121acfcbd80a453de02ff2e331f02e028455fe704f
company,1629100800,Willis Towers Watson selects Carl Hess as President and Future CEO,69679062,,WLTW,GlobeNewswire,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=c31d9a79d0003534111bd2fb346012c2bc58caf5f66fbc2ed73d3a27f87a3c63
company,1629099120,"Willis Towers Watson appoints Carl Hess as president, future CEO",69679063,,WLTW,Thefly.com,Willis Towers Watson anno... WLTW,https://finnhub.io/api/news?id=ee839b2d8a148f8c82b66f10c6317a2b8c95fc3676da8e546ad692a8c6fe1bc3
company,1629095940,"Spring Creek Capital Llc Buys Aspen Aerogels Inc, Nuance Communications Inc, , Sells Ciena Corp, TCF Financial Corp, ",69695625,,WLTW,GuruFocus,,https://finnhub.io/api/news?id=6e16aea1e15f72ee0cf3070a71314153fe15c34752ccb5010db7f3ff80ae50ec
company,1629084900,Willis Towers Watson initiated with an Outperform at Wolfe Research,69698438,,WLTW,Thefly.com,Wolfe Research analyst Mi... WLTW,https://finnhub.io/api/news?id=ca4ab12b10a1ba12b3e627d006eec56fc541ec380ce5458dfd71f1286576442d
company,1629081540,"Scoggin Llc Buys Willis Towers Watson PLC, Dell Technologies Inc, Stable Road Acquisition Corp, Sells Apollo Strategic Growth Capital II, Pershing Square Tontine Holdings, Nomad Foods",69694230,,WLTW,GuruFocus,,https://finnhub.io/api/news?id=059f5911a49d7f463abcbd3012c9a263e9e5b49c02396b409b79458333945436
company,1629062226,Tracking Seth Klarman's Baupost Group Holdings - Q2 2021 Update,69677588,,WLTW,SeekingAlpha,,https://finnhub.io/api/news?id=32dce44171842012e599cd0b7c0b00e004d629b50f846dc18719c4a8c32d99df
company,1628885880,What’s Next for Covid-19 as Delta Spreads,69662758,https://images.barrons.com/im-384986/social,WLTW,MarketWatch,"With Covid-19 cases surging in the U.S., analysts weigh in on when the wave could peak.",https://finnhub.io/api/news?id=09ea1231b99c2f17e7ff5961851e0b04cd9b49d0a7bf930eee767f479d11db01
company,1628875800,Willis Towers Watson PLC stock underperforms Friday when compared to competitors,69662759,https://images.mktw.net/im-220105/social,WLTW,MarketWatch,"Shares of Willis Towers Watson PLC slumped 0.92% to $219.24 Friday, on what proved to be an all-around positive trading session for the stock market, with...",https://finnhub.io/api/news?id=bc38d64f597dad34dad7cd7a7bb0e647ac312065b958c6b00e8aec1481f0023c
company,1628861883,Willis Towers to Sell Reinsurance Unit After Failed Aon Deal,69660591,https://s.yimg.com/cv/apiv2/social/images/yahoo_default_logo-1200x1200.png,WLTW,Yahoo,"(Bloomberg) -- Willis Towers Watson Plc agreed to sell its global reinsurance business to Arthur J. Gallagher & Co. for $3.25 billion in cash, weeks after its planned $30 billion takeover by Aon Plc fell apart.“Following the termination of the proposed combination with Aon, we have been taking time to reflect on what we have learned about WTW over the last 16 months and determine how we will move forward,” Chief Executive Officer John Haley said in a statement Friday. “We concluded that divestme",https://finnhub.io/api/news?id=5a6364e9673ae3cfa1d5b83311349c87f77970807b56bb8d32c653fff3a56a84
company,1628856737,UPDATE 1-Insurance broker Gallagher to buy Willis Towers unit,69651177,https://s.yimg.com/cv/apiv2/social/images/yahoo_default_logo-1200x1200.png,WLTW,Yahoo,"Insurance broker Arthur J Gallagher & Co said on Friday it had agreed to buy the treaty reinsurance brokerage business of Willis Towers Watson for an initial consideration of $3.25 billion.  The deal comes weeks after Willis and rival Aon Plc called off their $30 billion merger that would have created the world's largest insurance broker following opposition from the U.S. Department of Justice.  As part of approving the merger, European regulators had demanded the sale of Willis Re, the broker's reinsurance arm, to preserve competition, and Gallagher had agreed to buy it and other assets for about $3.6 billion.",https://finnhub.io/api/news?id=91c1aeaa1af542521b2e9b079cb42fe984ad0b6f08cb6f8562ce6d7149f4b5f6
company,1628855115,Willis Towers to sell reinsurance unit to Arthur J. Gallagher for initial cash consideration of $3.25 billion,69651179,https://s.yimg.com/uu/api/res/1.2/S8SCotpO9m2XQyQUIGU5dw--~B/aD02MzA7dz0xMjAwO2FwcGlkPXl0YWNoeW9u/https://media.zenfs.com/en/marketwatch.com/96d076434b2a015a3010bd2787b8c856,WLTW,Yahoo,"Insurance broker Willis Towers Watson PLC said Friday it has reached an agreement to sell its reinsurance unit Willis Re to Arthur J. Gallagher & Co. for an initial consideration of $3.25 billion in cash. The deal includes another up to $750 million in cash to be paid in 2025 subject to certain adjustments. The deal comes after Willis Towers and Aon ended a plan to merge in late July following a Justice Department lawsuit. ""Following the termination of the proposed combination with Aon, we have",https://finnhub.io/api/news?id=91aea20a843fcebee57d780bbffc951fafac067567efb991d9007de30cddd9ae
company,1628854200,Willis Towers Watson announces agreement to sell Willis Re to Gallagher,69651180,,WLTW,Yahoo,"LONDON, Aug. 13, 2021 (GLOBE NEWSWIRE) -- Willis Towers Watson (NASDAQ:WLTW), a leading global advisory, broking and solutions company, today announced an agreement with Arthur J. Gallagher & Co (Gallagher) to purchase Willis Re. Completion of the deal is subject to the receipt of required regulatory approvals and clearances, as well as other customary closing conditions and consultation where required. The business will be divested for a total upfront cash consideration of $3.25 billion plus an",https://finnhub.io/api/news?id=7df383b0dd03709251d516b8f20354b202837d1df5cf80f221511735c86d67a4
company,1628841420,"ContextLogic, Airbnb, Disney, DoorDash: What to Watch When the Stock Market Opens Today",69652119,https://images.wsj.net/im-350737/social,WLTW,DowJones,Airbnb and Doordash slipped after earnings reports; vaccine makers gained.,https://finnhub.io/api/news?id=c2619c50fd99ad50aa137e8f1bc04942d584f1c7e01df3c027cac4575e721d89
company,1628840820,Willis Towers Watson to Sell Willis Re to Gallagher for Initial $3.25B Consideration,69662760,https://mw3.wsj.net/mw5/content/logos/mw_logo_social.png,WLTW,MarketWatch,"By Dave Sebastian Willis Towers Watson PLC has agreed to sell Willis Re, its treaty reinsurance brokerage operations, to Arthur J. Gallagher &amp; Co. for an...",https://finnhub.io/api/news?id=862ea16655d228ffb8ecf6e1387977c982c890a8f63b773cfcb743ee156e6090
company,1628840715,Willis Towers to sell reinsurance unit to Arthur J. Gallagher for initial cash consideration of $3.25 billion,69662762,https://s.wsj.net/public/resources/MWimages/MW-GP644_MicroS_ZG_20180906154215.jpg,WLTW,MarketWatch,Insurance broker Willis Towers Watson PLC undefined said Friday it has reached an agreement to sell its reinsurance unit Willis Re to Arthur J. Gallagher &...,https://finnhub.io/api/news?id=26059c713a47b555009bfd2f4b3e07a0da8faf066465f18da38325a4307db3a8
company,1628839800,Willis Towers Watson announces agreement to sell Willis Re to Gallagher,69653429,,WLTW,GlobeNewswire,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=cf432b7f5d0e54925cf36ba85f5e769672c8a7ea4e8596b4d01444c29e5edb75
