category,datetime,headline,id,image,related,source,summary,url
company,1629195180,Stocks That Hit 52-Week Highs On Tuesday,69696539,https://cdn.benzinga.com/files/imagecache/og_image_social_share_1200x630/sites/all/themes/bz2/images/bz-icon.png,WM,Benzinga," 
 
Before 10 a.m. ET on Tuesday, 55 companies set new 52-week highs.
Points of Interest:

Apple (NASDAQ:AAPL) was the largest company by market cap to set a new 52-week...",https://finnhub.io/api/news?id=89bff3b255cda39ced7d3d82f57abf75db82808a9d92ace05c0fdecc8b10cf14
company,1629158220,WM Announces Cash Dividend,69687060,https://s.yimg.com/uu/api/res/1.2/mDJihKbCwc_obBukVFXOHg--~B/aD0xMjg7dz00ODA7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/business-wire.com/921e330f9dda4c40557b036d9a646fbb,WM,Yahoo,"HOUSTON, August 16, 2021--Waste Management, Inc. (NYSE: WM) today announced the declaration of a quarterly cash dividend of $0.575 per share payable Sept. 17, 2021 to stockholders of record on Sept. 3, 2021.",https://finnhub.io/api/news?id=8b6029a493fc0365ce2edd6f1a47d98a488c9ebe1b1a31442723abbfa6f90725
company,1629143820,WM Announces Cash Dividend,69698737,,WM,Business Wire,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=31371400f0ffaa6ebf48eb220f828e145935f6bfa2fd02c74652be0ec7154ecd
company,1629135000,Waste Management Inc. stock underperforms Monday when compared to competitors despite daily gains,69695150,https://images.mktw.net/im-220105/social,WM,MarketWatch,"Shares of Waste Management Inc. inched 0.88% higher to $151.93 Monday, on what proved to be an all-around positive trading session for the stock market, with...",https://finnhub.io/api/news?id=577ca8b9466e46cbfa29c31cd72bf108bc68b87375ab03f1f452ce54a89c37db
company,1629119401,Waste Management (WM) Hits 52-Week High: What's Driving It?,69683931,https://s.yimg.com/uu/api/res/1.2/TISlb53icX3gaMD6wYIlig--~B/aD00MDA7dz02MzU7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/zacks.com/60b9f8478aa44933075e81c128517c8e,WM,Yahoo,Encouraging yearly guidance and better-than-expected top- and bottom-line performances have been aiding Waste Management's (WM) stock.,https://finnhub.io/api/news?id=9ad9b535a12a11a8937248f89c9ee65050d038e6be19f237fbb31e4bf874654e
company,1629108720,Stocks That Hit 52-Week Highs On Monday,69681210,https://cdn.benzinga.com/files/imagecache/og_image_social_share_1200x630/sites/all/themes/bz2/images/bz-icon.png,WM,Benzinga," 
 
Before 10 a.m. ET on Monday, 71 companies hit new 52-week highs.
Highlights:

Apple (NASDAQ:AAPL) was the largest firm on a market cap basis to set a new 52-week...",https://finnhub.io/api/news?id=e10fab9752a2b5aa4ad163aaf81bc173c5a834f76fc2b8d34c3840afb6c3f22f
company,1629088740,"Journey Advisory Group, LLC Buys American Tower Corp, iShares Core S&P Small-Cap ETF, SPDR SSgA Ultra Short Term Bond ETF, Sells Clorox Co, General Electric Co, Ecolab Inc",69696613,,WM,GuruFocus,,https://finnhub.io/api/news?id=fe2dea2437c59ac9b45ab3aad4340039604c0b4ff14eb82cb68432c07f18973e
company,1628875800,Waste Management Inc. stock underperforms Friday when compared to competitors despite daily gains,69667236,https://images.mktw.net/im-220105/social,WM,MarketWatch,"Shares of Waste Management Inc. inched 0.35% higher to $150.61 Friday, on what proved to be an all-around positive trading session for the stock market, with...",https://finnhub.io/api/news?id=b3ec3120185cbc2c01d65a911983cb1e06e7a80e04c5a3b9bc1360b9c9086959
company,1628789400,Waste Management Inc. stock outperforms market on strong trading day,69667238,https://images.mktw.net/im-220105/social,WM,MarketWatch,"Shares of Waste Management Inc. inched 0.64% higher to $150.08 Thursday, on what proved to be an all-around great trading session for the stock market, with...",https://finnhub.io/api/news?id=b54eb38335a93508785940cd2431f983208eb9719d04155a04674c64f4ecc81c
company,1628749440,"Waste Management Now #131 Largest Company, Surpassing Ecolab",69656444,,WM,The Online Investor,"the online investor,WM,ECL,",https://finnhub.io/api/news?id=bbc71670eba4102f9bb224fbd25f14308977014134ea0daddb1734b399e6d62a
company,1628703000,"Waste Management Inc. stock rises Wednesday, outperforms market",69667240,https://images.mktw.net/im-220105/social,WM,MarketWatch,"Shares of Waste Management Inc. rallied 1.46% to $149.13 Wednesday, on what proved to be an all-around great trading session for the stock market, with the...",https://finnhub.io/api/news?id=a23ab956785423b10265178e0cea0954a4f4462214ef5432d35a3f09e002e29e
