category,datetime,headline,id,image,related,source,summary,url
company,1629228180,"Williams Cos. stock falls Tuesday, still outperforms market",69710041,https://images.mktw.net/im-220105/social,WMB,MarketWatch,"Shares of Williams Cos. slipped 0.53% to $24.48 Tuesday, on what proved to be an all-around poor trading session for the stock market, with the S&P 500 Index...",https://finnhub.io/api/news?id=23fd5f6e8b1e4ed5fd33d19529fa53c0206644d0eedd20dc01bcc1c3a9b8865f
company,1629167940,"Infrastructure Capital Advisors, Llc Buys Williams Inc, Genesis Energy LP, MPLX LP, Sells Marathon Petroleum Corp, TC Energy Corp, South Jersey Industries Inc",69717388,,WMB,GuruFocus,,https://finnhub.io/api/news?id=575ef9cf6e22d5dcf166c86807d6a185d365b4cdd9aa1bd1f52a7d64c30fa33d
company,1629135000,"Williams Cos. stock falls Monday, underperforms market",69701444,https://images.mktw.net/im-220105/social,WMB,MarketWatch,"Shares of Williams Cos. sank 0.89% to $24.61 Monday, on what proved to be an all-around favorable trading session for the stock market, with the S&P 500...",https://finnhub.io/api/news?id=6abc68b65bfc9f2ecfbadb90137294a5b452cfc7ba309bfc84a19b735931f6f1
company,1628875800,Williams Cos. stock underperforms Friday when compared to competitors,69701445,https://images.mktw.net/im-220105/social,WMB,MarketWatch,"Shares of Williams Cos. dropped 0.68% to $24.83 Friday, on what proved to be an all-around great trading session for the stock market, with the S&P 500 Index...",https://finnhub.io/api/news?id=cdfe4e05c3616119c2057ad33c15f3bda9af8d5d36b0df5f6cf98521beeb68e1
company,1628789400,"Williams Cos. stock rises Thursday, still underperforms market",69644614,https://images.mktw.net/im-220105/social,WMB,MarketWatch,"Shares of Williams Cos. inched 0.08% higher to $25.00 Thursday, on what proved to be an all-around favorable trading session for the stock market, with the...",https://finnhub.io/api/news?id=b2fa55cc9ae25d4ce82bbd587142ba28f9fe696d8974aa365bb6d5022eb14309
company,1628703000,"Williams Cos. stock remains steady Wednesday, underperforms market",69644615,https://images.mktw.net/im-220105/social,WMB,MarketWatch,"Shares of Williams Cos. were unchanged Wednesday, on what proved to be an all-around favorable trading session for the stock market, with the S&P 500 Index...",https://finnhub.io/api/news?id=c5466d10ae39580db8a8121ffe037416eafe5008a8e6da3551900a20a24b6337
company,1628688901,Williams (WMB) to Offer Its Services for Whale Development,69616404,https://s.yimg.com/uu/api/res/1.2/kyxbhc9vU6coF3kOO3p15g--~B/aD00MDA7dz02MzU7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/zacks.com/5102c7cc524ab92392c1c3e5f0753c65,WMB,Yahoo,Williams (WMB) to develop a 25-mile natural gas lateral pipeline from the Whale platform to the existing Perdido gas pipeline and another 125-mile oil pipeline to its GA-A244 junction platform.,https://finnhub.io/api/news?id=128a20dea3c6328cf7d5a6dd2a1fcbd829dca4d50606bb45beab2de2d7065f81
company,1628616600,"Williams Cos. stock rises Tuesday, outperforms market",69644616,https://images.mktw.net/im-220105/social,WMB,MarketWatch,"Shares of Williams Cos. inched 0.89% higher to $24.98 Tuesday, on what proved to be an all-around positive trading session for the stock market, with the S&P...",https://finnhub.io/api/news?id=2bb2258caf38f208996d7770f5925ff4875c0b4291fe70c95da036f71b2f3bc2
company,1628530200,"Williams Cos. stock falls Monday, underperforms market",69587647,https://images.mktw.net/im-220105/social,WMB,MarketWatch,"Shares of Williams Cos. shed 1.20% to $24.76 Monday, on what proved to be an all-around rough trading session for the stock market, with the S&P 500 Index...",https://finnhub.io/api/news?id=6c0c8afa3bb034dc7c8ca7e0e2f803b9b9fae3ea245675ecf9e7e9db7f5c27e0
company,1628528413,Here’s Why You Should Consider Investing in Williams Companies (WMB),69584077,https://s.yimg.com/uu/api/res/1.2/z3pR762hwNFmor0FKWbejw--~B/aD01MDA7dz03NTA7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/insidermonkey.com/d196b34f7820585fa04df84c2891c7f8,WMB,Yahoo,"Longleaf Partners Fund, a Memphis-based fund under Southeastern Asset Management, published its “Longleaf Partners Global Fund” second quarter 2021 investor letter – a copy of which can be downloaded here. A portfolio quarterly return of 1.27% was recorded by the fund for the second quarter of 2021, taking year-to-date (YTD) returns to 14.63% while its […]",https://finnhub.io/api/news?id=76d041645230ebd2aca51d9ec8d0f9c322acd0d9ed9fc72f6e6679a96ee08765
