category,datetime,headline,id,image,related,source,summary,url
company,1629241211,"Walmart Reports Solid Sales and Earnings, Despite Retail Slowdown",69710526,https://s.yimg.com/cv/apiv2/social/images/yahoo_default_logo-1200x1200.png,WMT,Yahoo,"The phrase ""too big to fail"" could be aptly applied to the brick-and-mortar retail climate of today. As various merchants wade through supply...",https://finnhub.io/api/news?id=86631e55552053c9a7cb5620708e98fa35aa876045a0b366f1cb1edec57caafb
company,1629237260,Walmart Earnings: No Growth Hangover Yet,69710527,,WMT,Yahoo,Walmart (NYSE: WMT) isn't going to suffer a growth hangover this year. The retailing titan this week projected that sales will rise in fiscal 2022 even after soaring last year due to pandemic-related customer shopping binges.,https://finnhub.io/api/news?id=b5e1cff8484b7873909d96790407009573f4c85fd0203eae69eb86d9dca6e4c4
company,1629232171,"US STOCKS-Wall Street slumps after weak retail sales, Home Depot results",69706025,https://s.yimg.com/cv/apiv2/social/images/yahoo_default_logo-1200x1200.png,WMT,Yahoo,"Wall Street's main indexes slid on Tuesday, with the S&P 500 logging its biggest one-day percentage fall in about a month, weighed down by a drop in U.S. retail sales that raised concerns about the economic recovery, as well as by disappointing results from Home Depot.  Most of the S&P 500's sectors finished lower, with consumer discretionary the weakest performer, falling 2.3%.",https://finnhub.io/api/news?id=b35c340cf42f9153399780ca2137790386e60206b8470c6a932e1f57c7f21d71
company,1629231605,Walmart's Online Sales Slow But Wall Street Weighs SNAP Lift,69708460,,WMT,Yahoo,Walmart beat views and gave solid guidance. But U.S. e-commerce sales slowed vs. the prior quarters.,https://finnhub.io/api/news?id=e53ba0e97a191484c7e2a2c040b226028be379157828857b9f4dbcad37547c1e
company,1629228240,Walmart Inc. stock outperforms market despite losses on the day,69711563,https://images.mktw.net/im-220105/social,WMT,MarketWatch,"Shares of Walmart Inc. sank 0.03% to $150.70 Tuesday, on what proved to be an all-around rough trading session for the stock market, with the S&P 500 Index...",https://finnhub.io/api/news?id=5fc3f2d0684e6ff01ea579608d396f5ea494938169a1b32b29a99cf5a37b3612
company,1629227243,Why Walmart’s e-commerce growth is cooling off while Amazon is still on fire,69704621,,WMT,Yahoo,"﻿Throughout 2020, when the pandemic pushed shoppers online in giant numbers, Walmart’s e-commerce sales soared.  The world’s largest retailer worked fast to adjust, developing software and capabilities to serve customers across its stores and digital channels that it’s now selling to other retailers.  Last year, Walmart’s US e-commerce sales grew 97% (pdf) in the second quarter compared to the same period in 2019, the fastest rate on record for the world’s largest retailer.",https://finnhub.io/api/news?id=17f6105c020d608016fe938fae467838fdce9024de25b015f8f0af66150c014c
company,1629225537,"US STOCKS-Wall Street falls 1% after weak retail sales, Home Depot results",69704622,,WMT,Yahoo,"Wall Street's main indexes dropped about 1% on Tuesday, weighed down by a drop in U.S. retail sales that raised concerns about the economic recovery, as well as by disappointing results from Home Depot.  Almost all of the S&P 500's sectors were lower, with consumer discretionary the weakest performer.",https://finnhub.io/api/news?id=c28b73ce6d7c6345f3f88a5ea7571af8247421e85529cc3eedc0ced579eb02bd
company,1629225063,Mid-Afternoon Market Update: Dow Tumbles Over 400 Points; Virpax Pharmaceuticals Shares Spike Higher,69707075,https://s.yimg.com/uu/api/res/1.2/l44OCflsjZHktYZ3MUkfxQ--~B/aD00MDA7dz02MDA7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/Benzinga/5a73b949b859af758c2d15d4b28966c2,WMT,Yahoo,"Toward the end of trading Tuesday, the Dow traded down 1.18% to 35,204.03 while the NASDAQ fell 1.24% to 14,610.77. The S&P also fell, dropping 1.06% to 4,432.01. The U.S. has the highest number of coronavirus cases and deaths in the world, reporting a total of 36,888,970 cases with around 622,320 deaths. India confirmed a total of at least 32,250,670 cases and 432,070 deaths, while Brazil reported over 20,378,570 COVID-19 cases with 569,490 deaths. In total, there were at least 207,882,950 case",https://finnhub.io/api/news?id=6ba3a08f41ec29ffc2ce08e35ab4501ed9430606f10558b676c8038c2acc54c1
company,1629222060,Warren Buffett bucks Wall Street with Kroger stock pick,69704007,,WMT,Yahoo,"Kroger can be considered another value pick for Buffett and Berkshire Hathaway, but it is also a long-term play on the transformation of food shopping.",https://finnhub.io/api/news?id=e6d9a8b7b6c3ef40d9fd0229f8643a15796aad0636f74760b7e16cee68cc0757
company,1629221700,Walmart and Home Depot beat earnings expectations but a number of factors are putting a squeeze on the consumer shopping spree,69703389,,WMT,Yahoo,"Home Depot exceeded $40 billion in quarterly sales for the first time but missed on same-store sales, sending shares down 4.5%",https://finnhub.io/api/news?id=810af45f2db3e93ee9c6342dadc39401cefcd3344d10e41efb6f24d01d66a7d2
company,1629221418,Wal-mart INC (WMT) Q2 2022 Earnings Call Transcript,69704625,,WMT,Yahoo,"WMT earnings call for the period ending July 31, 2021.",https://finnhub.io/api/news?id=cc406d12c4464b78d56942bc994834f9b2641db8caea2e0f0c9bd562c2e186fc
company,1629220604,Why Home Depot stock just got hammered,69703391,,WMT,Yahoo,Home Depot's stock gets nailed after its second quarter earnings report. Here's why.,https://finnhub.io/api/news?id=04cf4754e5446e5b06959f1b3c504edc6b5ff83e144c4929bc0ade61b05f2786
company,1629219300,"Dow, S&P 500 snap five-day winning streaks after retail sales decline",69718196,,WMT,United Press International,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=4860864eb3f82fde3816a8286073ff62a361880a8b74a03b8b0bee1c68590c30
company,1629217767,"Dow Jones Dives 330 Points As Weak Retail Sales Hit Stocks, Home Depot Drops",69702688,,WMT,Yahoo,Key market indexes were sharply lower midday with the Dow Jones Industrial Average down more than 300 points amid weak retail sales.,https://finnhub.io/api/news?id=54196bcc1462c7f3e7af1f588595d7f8f351364407a4c49f89fd6d79038edfa1
company,1629217685,Walmart Inc. (WMT) CEO Doug McMillon on Q2 2021 Results - Earnings Call Transcript,69705626,https://static.seekingalpha.com/assets/og_image_1200-29b2bfe1a595477db6826bd2126c63ac2091efb7ec76347a8e7f81ba17e3de6c.png,WMT,SeekingAlpha,"Walmart Inc. (NYSE:WMT) Q2 2021 Earnings Conference Call August 17, 2021, 08:00 AM ET Company Participants Daniel Binder – Investor Relation Doug McMillon – President and Chief Executive...",https://finnhub.io/api/news?id=a4aef25ce5f4f322daee338156afb2fee323c9893ae233c9b0d9106b957494d3
