category,datetime,headline,id,image,related,source,summary,url
company,1628875800,WestRock Co. stock underperforms Friday when compared to competitors,69672126,https://images.mktw.net/im-220105/social,WRK,MarketWatch,"Shares of WestRock Co. slipped 0.95% to $51.22 Friday, on what proved to be an all-around great trading session for the stock market, with the S&P 500 Index...",https://finnhub.io/api/news?id=b6072c7c6a53d13bb1d6f61eb23e239c3329dc3b34d9abd08ba2f5bd56842cad
company,1628789400,"WestRock Co. stock falls Thursday, underperforms market",69672127,https://images.mktw.net/im-220105/social,WRK,MarketWatch,"Shares of WestRock Co. slumped 0.37% to $51.71 Thursday, on what proved to be an all-around great trading session for the stock market, with the S&P 500...",https://finnhub.io/api/news?id=cc6414aa441f058a16f526b184f053231ebfe7bafb140642654f99f47415e02c
company,1628703000,WestRock Co. stock outperforms market on strong trading day,69625527,https://images.mktw.net/im-220105/social,WRK,MarketWatch,"Shares of WestRock Co. rallied 2.14% to $52.14 Wednesday, on what proved to be an all-around great trading session for the stock market, with the S&P 500...",https://finnhub.io/api/news?id=909a56ce1b557978f96edb7617dc1f736447e30f1561cc95c4810172befaeace
company,1628616600,"WestRock Co. stock rises Tuesday, outperforms market",69605309,https://images.mktw.net/im-220105/social,WRK,MarketWatch,"Shares of WestRock Co. rose 3.34% to $51.05 Tuesday, on what proved to be an all-around positive trading session for the stock market, with the S&P 500 Index...",https://finnhub.io/api/news?id=d3039e862ff86891c098b2df9790f5b6f7e5dc9c75d4d888b9d033bd95bb2e9e
company,1628530200,"WestRock Co. stock rises Monday, outperforms market",69586365,https://images.mktw.net/im-220105/social,WRK,MarketWatch,"Shares of WestRock Co. advanced 1.21% to $49.40 Monday, on what proved to be an all-around dismal trading session for the stock market, with the S&P 500...",https://finnhub.io/api/news?id=99f142ff27420a13cc3598d8ca24518931e2458d5f0b2a4e4b80190d95c9b034
company,1628513580,ESG Investing: Focusing on Significant Business Sector Shifts,69594767,,WRK,TalkMarkets,,https://finnhub.io/api/news?id=8fc62f2e5c431d8707434c6ebe3c0627f3d1bf6dca5ad3b0d529c6d36cf91992
company,1628325096,Dividend Investors: Don't Be Too Quick To Buy WestRock Company (NYSE:WRK) For Its Upcoming Dividend,69564411,https://s.yimg.com/uu/api/res/1.2/JDCC9lQeiIPM8JBfzfSUTg--~B/aD00MzI7dz0xMTk0O2FwcGlkPXl0YWNoeW9u/https://media.zenfs.com/en/simply_wall_st__316/d87d808830e2aedc066b03f242222480,WRK,Yahoo,"Readers hoping to buy WestRock Company ( NYSE:WRK ) for its dividend will need to make their move shortly, as the stock...",https://finnhub.io/api/news?id=bdfc41e31484fdb7e0841f779de9990f36796c7b291bab0b01ca0335fea6875f
company,1628271000,"WestRock Co. stock rises Friday, outperforms market",69557126,https://images.mktw.net/im-220105/social,WRK,MarketWatch,"Shares of WestRock Co. inched 0.74% higher to $48.81 Friday, on what proved to be an all-around positive trading session for the stock market, with the S&P...",https://finnhub.io/api/news?id=6f851dc0f0055f9d7fbe5b9c1bb5f9f47b79813f9b2960ce499d90e6e98fe11b
company,1628215297,WestRock (WRK) Q3 2021 Earnings Call Transcript,69537678,,WRK,Yahoo,"WRK earnings call for the period ending June 30, 2021.",https://finnhub.io/api/news?id=4605b0579cbda0b3828d8b2ecca07469db23ba970863072c8263285a1b97a805
company,1628187017,WestRock Q3 Earnings Top Estimates On Strong Demand,69528876,https://s.yimg.com/uu/api/res/1.2/ntkPe2mJy5KF0i3eWYG75w--~B/aD00MDA7dz02MDA7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/Benzinga/c66a3d67dc69e4224342c03a12825390,WRK,Yahoo,View more earnings on WRKSee more from BenzingaClick here for options trades from BenzingaBall Corp Q2 Result Tops EstimatesYeti Holdings Q2 Earnings Top Estimates; Raises FY21 Guidance© 2021 Benzinga.com. Benzinga does not provide investment advice. All rights reserved.,https://finnhub.io/api/news?id=dae1312718837bfa1b96d6838f8e409dbdc51a3b19546a1ed784eeb1e2489ad1
company,1628184600,"WestRock Co. stock falls Thursday, underperforms market",69530874,https://images.mktw.net/im-220105/social,WRK,MarketWatch,"Shares of WestRock Co. dropped 0.59% to $48.45 Thursday, on what proved to be an all-around positive trading session for the stock market, with the S&P 500...",https://finnhub.io/api/news?id=ef17e6466ffcb542b15ca84ae004a39feb66f46adccc58595fefc78c256bd248
