category,datetime,headline,id,image,related,source,summary,url
company,1629188880,"The Daily Biotech Pulse: Lilly Reorganizes Business Units In Neuroscience Focus, Helius Medical Spikes On Breakthrough Designation, Ra Medical Sells Dermatology Business",69696484,https://cdn.benzinga.com/files/imagecache/og_image_social_share_1200x630/images/story/2012/cells-1872666_1920_86.jpg,WST,Benzinga,"Here's a roundup of top developments in the biotech space over the last 24 hours:
Scaling The Peaks
(Biotech Stocks Hitting 52-week Highs Aug. 16)

Bio-Rad Laboratories, Inc...",https://finnhub.io/api/news?id=05dbaa731e5879ae8257a9deade3e4709469b9c725264c7c31c6ff745ecbd891
company,1629164340,"Kayne Anderson Rudnick Investment Management Llc Buys MediaAlpha Inc, Latham Group Inc, Olo Inc, Sells , CoreLogic Inc, The Trade Desk Inc",69716497,,WST,GuruFocus,,https://finnhub.io/api/news?id=341b33c9261a5b3566d55336c711291923398d93a1c8871db80b9d52a2a9202a
company,1629129604,West Pharmaceutical (WST) Moves to Strong Buy: Rationale Behind the Upgrade,69683293,https://s.yimg.com/uu/api/res/1.2/Tw87WEC1wh0JNb8.IBuFMA--~B/aD02MDA7dz05MDA7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/zacks.com/03fca48475577988aa4e0db94f484b4e,WST,Yahoo,"West Pharmaceutical (WST) has been upgraded to a Zacks Rank #1 (Strong Buy), reflecting growing optimism about the company's earnings prospects. This might drive the stock higher in the near term.",https://finnhub.io/api/news?id=3cb6be62133d713713a0be42429c017e5dc00eb156609be2753f45e794452367
company,1629108720,Stocks That Hit 52-Week Highs On Monday,69681210,https://cdn.benzinga.com/files/imagecache/og_image_social_share_1200x630/sites/all/themes/bz2/images/bz-icon.png,WST,Benzinga," 
 
Before 10 a.m. ET on Monday, 71 companies hit new 52-week highs.
Highlights:

Apple (NASDAQ:AAPL) was the largest firm on a market cap basis to set a new 52-week...",https://finnhub.io/api/news?id=e10fab9752a2b5aa4ad163aaf81bc173c5a834f76fc2b8d34c3840afb6c3f22f
company,1628847309,"National Vision (EYE) Q2 Earnings Top Estimates, 2021 View Up",69651185,,WST,Yahoo,Strength in Americas Best and Eyeglass World brands drove National Vision's (EYE) revenues in the second quarter of 2021.,https://finnhub.io/api/news?id=ba63b3cbbe25f3c386bcdf4140276be0bbab609d917ced73b52ddba73561228a
company,1628776621,"Accuray (ARAY) Posts In-Line Q4 Earnings, Beats on Revenues",69636866,https://s.yimg.com/uu/api/res/1.2/Q2f.YMShumqXKBSqG9ps6g--~B/aD00MDA7dz02MzU7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/zacks.com/cbd7c6285cac8f8da1bdc1cb0716ca84,WST,Yahoo,Accuray (ARAY) registers growth in Service and Product revenues during fiscal Q4.,https://finnhub.io/api/news?id=a1deaa997eeb477b93f758d8f9e9526819c26546acbc8ce6ae05ca38448078a8
company,1628686861,"Inari Medical (NARI) Q2 Earnings Lag, Revenues Top Estimates",69616608,https://s.yimg.com/uu/api/res/1.2/ShfhwtDyA2WzDBKdAL7M8Q--~B/aD00MDA7dz02MzU7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/zacks.com/6f2cab89bf2cbad1966358e04258e202,WST,Yahoo,Inari Medical's (NARI) second-quarter 2021 results benefit from significant revenue growth and gross margin expansion.,https://finnhub.io/api/news?id=db3daf2b1ced6432050a37ee7b7b41de8c25c892fd5246837a6f16af401ae0a4
company,1628669640,"The Daily Biotech Pulse: FDA Rejects FibroGen's Anemia Drug, Crinetics Gains On Positive Readout, BioCryst Withdraws Public Offering",69615837,https://cdn.benzinga.com/files/imagecache/og_image_social_share_1200x630/images/story/2012/cells-1872666_1920_85.jpg,WST,Benzinga,"Here's a roundup of top developments in the biotech space over the last 24 hours:
Scaling The Peaks
(Biotech Stocks Hitting 52-week Highs Aug. 10)

Alnylam Pharmaceuticals,...",https://finnhub.io/api/news?id=faba19dea5fd32ece4993d17c75a4c857970be05d9c438e3eebb7645da3f217d
company,1628603821,"ShockWave Medical (SWAV) Q2 Earnings, Revenues Top Estimates",69597884,https://s.yimg.com/uu/api/res/1.2/Q2f.YMShumqXKBSqG9ps6g--~B/aD00MDA7dz02MzU7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/zacks.com/cbd7c6285cac8f8da1bdc1cb0716ca84,WST,Yahoo,ShockWave Medical's (SWAV) robust performance across product lines and geographies drive its Q2 sales.,https://finnhub.io/api/news?id=a9d896da868850971db03f8e28cd8fe4658fe36e50f0652126d3b14c5d6677e7
company,1628589960,Stocks That Hit 52-Week Highs On Tuesday,69596373,https://cdn.benzinga.com/files/imagecache/og_image_social_share_1200x630/sites/all/themes/bz2/images/bz-icon.png,WST,Benzinga," 
 
Before 10 a.m. ET on Tuesday, 100 stocks hit new 52-week highs.
Things to Consider:

The largest company by market cap to break to a new 52-week high was Pfizer (...",https://finnhub.io/api/news?id=f7d9299ff22f849202169d5ac145abe73dce56edcff8aecaac1df3d7fdcbdf70
