category,datetime,headline,id,image,related,source,summary,url
company,1629242880,"Western Union suspends money transfers to Afghanistan, cutting off ‘vital channel’ of financial support",69712556,,WU,Yahoo,"Western Union is suspending money transfers into Afghanistan as America withdraws troops from the troubled country now in the Taliban’s control.  Western Union WU, which has the capacity to wire money from the U.S. to more than 200 countries and territories, said the perilous situation left it with no choice but to temporarily halt money transfers into Afghanistan, effective Aug. 16.  Remittances — money beamed from abroad to people inside Afghanistan — constituted nearly 4% of the country’s gross domestic product last year, according to World Bank data.",https://finnhub.io/api/news?id=3a42c5f63901f412cd8b249ff07c50794ce3b0c87000f9e661624480ae932f52
company,1629225480,How to help people in Afghanistan as Western Union suspends money transfers into the country,69707004,https://s.yimg.com/uu/api/res/1.2/tHVk8uTONTrwe9FYMbeQ9g--~B/aD02NDA7dz0xMjgwO2FwcGlkPXl0YWNoeW9u/https://media.zenfs.com/en/marketwatch.com/c33617060b5a1adb2346c58740b6f0b8,WU,Yahoo,"Western Union is suspending transactions into Afghanistan as America withdraws troops from the troubled country now in the Taliban’s control.  Western Union WU, which has the capacity to wire money from the U.S. to more than 200 countries and territories, said the perilous situation left it with no choice but to temporarily halt money transfers into Afghanistan, effective Aug. 16.  Remittances — money beamed from abroad to people inside Afghanistan — constituted nearly 4% of the country’s gross domestic product last year, according to World Bank data.",https://finnhub.io/api/news?id=de3e46e60d08ee7e9afdd1c1f17d7fa3317b748c29770a4da0b171ad869e57d1
company,1629194640,"FOREX MARKET: Dollar rises amid Afghanistan unrest, Delta fears",69720009,,WU,Alliance News,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=9392a328176a551786e9b456b80bef6859221172325758f471cc8487548b6988
company,1629135060,"Western Union Co. stock falls Monday, underperforms market",69687211,https://images.mktw.net/im-220105/social,WU,MarketWatch,"Shares of Western Union Co. sank 0.31% to $22.42 Monday, on what proved to be an all-around positive trading session for the stock market, with the S&P 500...",https://finnhub.io/api/news?id=facf82555584557f9794ef96458106ba10bf78e4e2af435f2e747e3a8e85bcfb
company,1629092340,"Seeyond Buys Public Storage, Danaher Corp, Agnico Eagle Mines, Sells Axalta Coating Systems, Open Text Corp, DTE Energy Co",69694700,,WU,GuruFocus,,https://finnhub.io/api/news?id=663994659eb3e67163e20af5e0adb7e28a3a9f8a06c3f387998c83190c27e688
company,1628875860,Western Union Co. stock outperforms competitors on strong trading day,69661121,https://images.mktw.net/im-220105/social,WU,MarketWatch,"Shares of Western Union Co. inched 0.22% higher to $22.49 Friday, on what proved to be an all-around great trading session for the stock market, with the S&P...",https://finnhub.io/api/news?id=0696c80175fbbfec78786e7f28764d54224de6ecbb4d0975d8dcc56f257d25b8
company,1628789460,Western Union Co. stock underperforms Thursday when compared to competitors,69649704,https://images.mktw.net/im-220105/social,WU,MarketWatch,"Shares of Western Union Co. shed 0.93% to $22.44 Thursday, on what proved to be an all-around favorable trading session for the stock market, with the S&P...",https://finnhub.io/api/news?id=2b50452c1117f39e0008f81a6bf54f19abaf8340b3840f9699f536e210ef7253
company,1628703060,"Western Union Co. stock rises Wednesday, still underperforms market",69649705,https://images.mktw.net/im-220105/social,WU,MarketWatch,"Shares of Western Union Co. inched 0.18% higher to $22.65 Wednesday, on what proved to be an all-around favorable trading session for the stock market, with...",https://finnhub.io/api/news?id=eda0bd08d7ab2611133db2649430c4723ce7633e75d4a45268bdc71727f85461
company,1628690582,Western Union (WU) Ties Up to Ease Money Transfers in Philippines,69619276,https://s.yimg.com/uu/api/res/1.2/h98j3jdcx1J3L90FNNylpQ--~B/aD00MDA7dz02MzU7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/zacks.com/246f4e3568ef1a049c93a1fb07b3f749,WU,Yahoo,Western Union (WU) collaborates with PERA HUB in a bid to facilitate seamless money transfers by the Philippines' customers through the UnionBank app.,https://finnhub.io/api/news?id=71503647790e56d72c105ced95bf9fc36cfc5454a1409f3ac1f171ed92443def
company,1628654100,Wells Fargo to hold a virtual forum,69614131,,WU,Thefly.com,"6th Annual Wells Fargo Fi... ACIW, ACN, ADP, ASGN, BAH, CDLX, CLVT, CTSH, DBDR, DXC, EEFT, WU, WEX, VVNT, TTEC, TRU, TIXT, TASK, SPGI, IT, IMXI, FIS, FLT, RCII",https://finnhub.io/api/news?id=94260a540516c27682ff407883f8f67ed58af30d22e6dbdeebb008e74023c40d
