category,datetime,headline,id,image,related,source,summary,url
company,1629135425,Xcel Energy (XEL) Strong on Capex and Clean Energy Plans,69685211,https://s.yimg.com/uu/api/res/1.2/NTnn361PUEIHnnwPS0IyXQ--~B/aD00MDA7dz02MzU7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/zacks.com/b972538d06b5d0822d7c949e71fc1dd1,XEL,Yahoo,Xcel Energy's (XEL) strategic investments and focus on clean energy will further strengthen its existing operations.,https://finnhub.io/api/news?id=1cc4e712d052075b9e6e7623209dbdc679e3adfe543719efda22540d29b543ba
company,1629129360,NuScale Power Inks MOU With Xcel Energy To Explore Potential Plant Operations,69703669,https://cdn.benzinga.com/files/imagecache/og_image_social_share_1200x630/images/story/2012/industrial_pic_311.jpg,XEL,Benzinga,"Xcel Energy Inc (NASDAQ: XEL) has signed a memorandum of understanding with NuScale Power, LLC to explore the feasibility of serving as a plant operator at NuScale...",https://finnhub.io/api/news?id=bb4a59bb5aaa532452fa677ed5a6a64ddf3540f043619d94b443ab955222a6f5
company,1629115200,NuScale Power Signs Memorandum of Understanding With Xcel Energy to Explore Potential Plant Operations,69683662,https://s.yimg.com/uu/api/res/1.2/M12eNeN85ZpYc63YIMLY5g--~B/aD0xODA7dz00ODA7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/business-wire.com/3bf6fe929ab3bdb5c6a5cd50b0282b5c,XEL,Yahoo,"PORTLAND, Ore., August 16, 2021--NuScale has signed a MOU with Xcel Energy to explore the feasibility of Xcel Energy serving as a plant operator at NuScale Plants",https://finnhub.io/api/news?id=d236a18cef8450f85467d5f56f77962016d40f6b8567405a5fee2f9968a3b031
company,1629100800,NuScale Power Signs Memorandum of Understanding With Xcel Energy to Explore Potential Plant Operations,69680036,,XEL,Business Wire,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=ac2c73bab150a9cb07d25c9ce247c2a611b7a40acbe0f6d5ac87052ea8f9a52a
company,1629097680,NuScale to explore feasibility of Xcel becoming the operator at its plants,69680037,,XEL,Thefly.com,NuScale Power announces i... XEL,https://finnhub.io/api/news?id=aeabd9281ee5d3677a82ce3b4612d9011cca7689950a82bb01fd006ab9b102f6
company,1628928550,XLU: Utilities Dashboard For August,69666474,,XEL,SeekingAlpha,,https://finnhub.io/api/news?id=1392bd005dadb1dc9ffebe1acb546581d4f0848126adc219492b7ae7b6581148
company,1628875860,Xcel Energy Inc. stock outperforms market on strong trading day,69671364,https://images.mktw.net/im-220105/social,XEL,MarketWatch,"Shares of Xcel Energy Inc. inched 0.36% higher to $69.04 Friday, on what proved to be an all-around favorable trading session for the stock market, with the...",https://finnhub.io/api/news?id=5880c0c1126ce276a2441aab1910290bc33e210b12e6a3ef62a9b06f1fc314e7
company,1628862961,Algonquin Power & Utilities' (AQN) Q2 Earnings Top Estimates,69660479,https://s.yimg.com/uu/api/res/1.2/MX3Ymci0.N_ggA93Cx4jMQ--~B/aD00MDA7dz02MzU7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/zacks.com/30a16cf29adcb5e8d3fc109971d25783,XEL,Yahoo,Algonquin Power & Utilities' (AQN) second-quarter earnings are better than expected. The company continues to expand renewable operations through organic and inorganic initiatives.,https://finnhub.io/api/news?id=396aca762b5299930528a965a42926e842aa0277f233148f228e6a60f5aa3985
company,1628852740,Xcel Energy (NASDAQ:XEL) Is Reinvesting At Lower Rates Of Return,69662175,https://s.yimg.com/uu/api/res/1.2/vufsA66WUrIdn1cTA_PBdw--~B/aD00MzI7dz0xMTk0O2FwcGlkPXl0YWNoeW9u/https://media.zenfs.com/en/simply_wall_st__316/8825248dd2026431674a1820f2d9889e,XEL,Yahoo,"To find a multi-bagger stock, what are the underlying trends we should look for in a business? Ideally, a business will...",https://finnhub.io/api/news?id=710e09cb6e72697cccfb4a55eae0b5378c16518f65f027cbca388a6f09de01f9
company,1628789460,Xcel Energy Inc. stock outperforms competitors despite losses on the day,69671365,https://images.mktw.net/im-220105/social,XEL,MarketWatch,"Shares of Xcel Energy Inc. slipped 0.41% to $68.79 Thursday, on what proved to be an all-around great trading session for the stock market, with the S&P 500...",https://finnhub.io/api/news?id=d802d5ad448e0cca827ae8f50626e2f400e13080644b8e3d18c457cd7f97a650
