category,datetime,headline,id,image,related,source,summary,url
company,1629228360,Zimmer Biomet Holdings Inc. stock underperforms Tuesday when compared to competitors despite daily gains,69711607,https://images.mktw.net/im-220105/social,ZBH,MarketWatch,"Shares of Zimmer Biomet Holdings Inc. inched 0.88% higher to $147.86 Tuesday, on what proved to be an all-around dismal trading session for the stock market,...",https://finnhub.io/api/news?id=3780ecc4197d16ed71eaf6467fd0c9123a1a28908495b989662bb08f3327805f
company,1629198000,Zimmer Biomet to Unveil New Clinical Data and Portfolio of Innovative Technologies at AAOS 2021 Annual Meeting,69693138,https://s.yimg.com/uu/api/res/1.2/aRsOKykfitenjvVQa5N0zw--~B/aD0xMDE7dz00MDA7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/prnewswire.com/b2cf55af636f7f3c8e37f6ad35b0e900,ZBH,Yahoo,"Zimmer Biomet Holdings, Inc. (NYSE and SIX: ZBH), a global medical technology leader, today announced six data presentations at the American Academy of Orthopaedic Surgeons (AAOS) 2021 Annual Meeting scheduled to be held on August 31 to September 3 in San Diego. The accepted data include a podium presentation showcasing Persona IQ®, the Company's investigational smart knee implant developed in partnership with Canary Medical and currently under review by the FDA, and three posters on the clinica",https://finnhub.io/api/news?id=d1c48bd469195bd07e835a830e4f4d1baf35f416778086f48fac2f42cac3fac7
company,1629183600,Zimmer Biomet to Unveil New Clinical Data and Portfolio of Innovative Technologies at AAOS 2021 Annual Meeting,69695981,,ZBH,PR Newswire,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=cf1e7986ce132b6fdf2789c9512408895ce2aed60997833b5a7c6dadd15f0d0c
company,1629164280,"Prosight Management, LP Buys Haemonetics Corp, Exicure Inc, Convey Holding Parent Inc, Sells Bristol-Myers Squibb Company, Prothena Corp PLC, Aurinia Pharmaceuticals Inc",69717323,,ZBH,GuruFocus,,https://finnhub.io/api/news?id=8a365ef10999d7e9a9d2993aed8a0a7c78407968a81bcf658df581b1303273d2
company,1629135120,"Zimmer Biomet Holdings Inc. stock rises Monday, outperforms market",69711608,https://images.mktw.net/im-220105/social,ZBH,MarketWatch,"Shares of Zimmer Biomet Holdings Inc. inched 0.33% higher to $146.57 Monday, on what proved to be an all-around great trading session for the stock market,...",https://finnhub.io/api/news?id=e09236ba74443e8a225a838c54815dc1a02d31c71adb290b1cdd25a705272518
company,1629089520,"Third Point adds SoFi, exits Equitrans in Q2",69695177,,ZBH,Thefly.com,"Third Point disclosed in ... S, SOFI, EDR, ZBH, PTON, ETRN, IAA, AMZN, DELL, CANO, EL, CHTR, PCG, JD, IQV, DIS",https://finnhub.io/api/news?id=1f8d0f785a6738ea1e21a6f398982ac07fb3854b3b8723492d6abdde006f3763
company,1628875920,Zimmer Biomet Holdings Inc. stock underperforms Friday when compared to competitors,69667278,https://images.mktw.net/im-220105/social,ZBH,MarketWatch,"Shares of Zimmer Biomet Holdings Inc. slipped 0.22% to $146.09 Friday, on what proved to be an all-around positive trading session for the stock market, with...",https://finnhub.io/api/news?id=fbf8fa0ebf2bf4b7ffef9c074df3bd48d73ab64cf700994049a5ee01ea85ac67
company,1628789520,Zimmer Biomet Holdings Inc. stock underperforms Thursday when compared to competitors despite daily gains,69667279,https://images.mktw.net/im-220105/social,ZBH,MarketWatch,"Shares of Zimmer Biomet Holdings Inc. inched 0.49% higher to $146.41 Thursday, on what proved to be an all-around positive trading session for the stock...",https://finnhub.io/api/news?id=c4f13e5bbb01cd08aa6b12dbeffc83e42e1db22cb04de05d4ac9b9175addda20
company,1628778088,NuVasive Still Getting No Love With COVID-19 And Competitive Worries,69639839,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1294458222/medium_image_1294458222.jpg,ZBH,SeekingAlpha,"NuVasive produced its second straight quarter with a double-digit operating income beat, but in-line guidance and fears of renewed COVID-19 lockdowns seem to be weighing on the shares.",https://finnhub.io/api/news?id=7f3a7c1a46dc16e3efc4c8ddc1d5119faa2b1235a2fa73252e5388c6eaedaa8a
company,1628765580,Video: S&P 500 Analyst Moves: ZBH,69653913,,ZBH,Market News Video,"The latest tally of analyst opinions from the major brokerage houses shows that among the components of the S&P 500 index, Zimmer Biomet Holdings is now the #53 analyst pick, moving up by 1 spot - This rank is formed by averaging the analyst opinions for each component from each broker, and then ranking the 500 components by those average opinion values - ZBH.",https://finnhub.io/api/news?id=0871a41f94055e1e8f1a504f25827567afd118e31eb67f9a5d2d34e1e256a437
company,1628765220,Zimmer Biomet Holdings Takes Over #53 Spot From Synopsys,69653914,,ZBH,ETF Channel,"Staff article entitled Zimmer Biomet Holdings Takes Over #53 Spot From Synopsys, about ETFs, from ETF Channel.",https://finnhub.io/api/news?id=5f0f8369cd98ab5509e355b2ff84be8ad7cce429a743931e1988cae4a0cb6c6e
company,1628703120,"Zimmer Biomet Holdings Inc. stock falls Wednesday, underperforms market",69667280,https://images.mktw.net/im-220105/social,ZBH,MarketWatch,"Shares of Zimmer Biomet Holdings Inc. slid 0.05% to $145.70 Wednesday, on what proved to be an all-around positive trading session for the stock market, with...",https://finnhub.io/api/news?id=5ad10459edf4020860fbb7db99abe758102c85745dd71c846620f6d84ad741df
company,1628616720,"Zimmer Biomet Holdings Inc. stock falls Tuesday, underperforms market",69610462,https://images.mktw.net/im-220105/social,ZBH,MarketWatch,"Shares of Zimmer Biomet Holdings Inc. shed 1.13% to $145.77 Tuesday, on what proved to be an all-around positive trading session for the stock market, with...",https://finnhub.io/api/news?id=71b9b83a664faf3878acbd7071a3afa0f1598a867b4a463c39582d52e73a5536
company,1628608203,Zimmer Biomet (ZBH) Recovery Rate Slows Down Amid Pandemic,69609413,https://s.yimg.com/uu/api/res/1.2/.cFExAtq.C.oud6sX39cog--~B/aD00MDA7dz02MzU7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/zacks.com/f21818c32cbc40e4ff1ee29342da1830,ZBH,Yahoo,"Zimmer Biomet (ZBH) sees slower recovery amid the emergence of a new strain of coronavirus in a number of markets, including Japan.",https://finnhub.io/api/news?id=ef3acfc5fa83ea572e9b4ff27422995c094547c107fd8d0babac009a47a4357a
company,1628530320,"Zimmer Biomet Holdings Inc. stock falls Monday, underperforms market",69587646,https://images.mktw.net/im-220105/social,ZBH,MarketWatch,"Shares of Zimmer Biomet Holdings Inc. slid 1.05% to $147.44 Monday, on what proved to be an all-around grim trading session for the stock market, with the...",https://finnhub.io/api/news?id=6238d77ed0892f2e9320b11fcdf3546ecb620871910a1c652d7ce86f58913d60
company,1628271120,Zimmer Biomet Holdings Inc. stock underperforms Friday when compared to competitors,69578227,https://images.mktw.net/im-220105/social,ZBH,MarketWatch,"Shares of Zimmer Biomet Holdings Inc. shed 0.78% to $149.00 Friday, on what proved to be an all-around great trading session for the stock market, with the...",https://finnhub.io/api/news?id=17213d4189feee7de58537c09d915d122d7ab294aace70acd646dd82da578781
company,1628184660,"Zimmer Biomet Holdings Inc. stock rises Thursday, outperforms market",69578228,https://images.mktw.net/im-220105/social,ZBH,MarketWatch,"Shares of Zimmer Biomet Holdings Inc. rallied 1.31% to $150.17 Thursday, on what proved to be an all-around positive trading session for the stock market,...",https://finnhub.io/api/news?id=deccdeb992771f68f5b4c90730cd9e039c20f7acfdd884701f3ebacab9039548
company,1628098260,"Zimmer Biomet Holdings Inc. stock falls Wednesday, underperforms market",69511178,https://images.mktw.net/im-220105/social,ZBH,MarketWatch,"Shares of Zimmer Biomet Holdings Inc. slipped 3.57% to $148.23 Wednesday, on what proved to be an all-around poor trading session for the stock market, with...",https://finnhub.io/api/news?id=5aac50a43802faf83ca85aa4dcfd09523336d8591fb6ef11f41b0111e7f14d4b
company,1628078100,Zimmer Biomet price target lowered to $190 from $195 at Oppenheimer,69514361,,ZBH,Thefly.com,Oppenheimer analyst Steve... ZBH,https://finnhub.io/api/news?id=8bf2b3883897326d6e4d7a0315497c5c4e2eefa9263a9cd7e4e32c235a50cc3c
