category,datetime,headline,id,image,related,source,summary,url
company,1629117540,"Bell Asset Management Ltd Buys Amazon.com Inc, Keysight Technologies Inc, Nike Inc, Sells UnitedHealth Group Inc, Avery Dennison Corp, Facebook Inc",69697303,,ZBRA,GuruFocus,,https://finnhub.io/api/news?id=ef3b121400fe181e7779a8403a82619b9dc62f3daf8cfaaed227fc6ad37dcd7b
company,1628691602,"Zebra (ZBRA) Acquires Fetch Robotics, Boosts Product Offerings",69618222,https://s.yimg.com/uu/api/res/1.2/knmT_zhl4W5gMgUMJIEvBg--~B/aD00MDA7dz02MzU7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/zacks.com/026a08802cd984229bb03e0aefeb2972,ZBRA,Yahoo,The acquisition of Fetch Robotics will enable Zebra (ZBRA) to provide a comprehensive line of advanced robotics solutions to its customers.,https://finnhub.io/api/news?id=ceb207236152ac024ccc7940635c614d351148ee2629197bbd28415ddef108bd
company,1628669760,Zebra Technologies Corp (ZBRA) CEO Anders Gustafsson Sold $11.5 million of Shares,69636295,,ZBRA,GuruFocus,,https://finnhub.io/api/news?id=b4d37278db6167e15370cdb464a29b98a3d4ba61269b07d126bc5b3f79893500
company,1628596800,Zebra Technologies Completes Acquisition of Fetch Robotics,69593523,https://s.yimg.com/uu/api/res/1.2/c4VBN.yO88ZkJyddCdB_Ww--~B/aD0xNjM7dz00ODA7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/business-wire.com/5fef9a28d481b948566520505cfd4edf,ZBRA,Yahoo,"LINCOLNSHIRE, Ill., August 10, 2021--Zebra Technologies Corporation (NASDAQ: ZBRA), an innovator at the front line of business with solutions and partners that deliver a performance edge, today announced that it has completed its acquisition of Fetch Robotics, a pioneer in on-demand automation. Fetch’s Autonomous Mobile Robots (AMRs) are used for optimized picking in fulfillment centers and distribution centers, just-in-time material delivery in manufacturing facilities and automating manual mat",https://finnhub.io/api/news?id=b62fbb07862b9c77f7c6606c06b147087e3be5c82a149982aa72c7e8ccfe031e
company,1628582400,Zebra Technologies Completes Acquisition of Fetch Robotics,69599580,,ZBRA,Business Wire,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=9a4e8c7c649efdd67ff74135ed729eba781e1f427a5a9bb9c6cbaadeeae1ad69
company,1628424900,3 AI Stocks to Buy and Hold for the Next Decade,69570907,,ZBRA,Yahoo,"The work in artificial intelligence (AI) has accelerated over the last decade and is becoming a part of our everyday lives.  Companies in numerous industries are racing to adopt AI to improve operations and the customer experience, or make sense of the massive amounts of data available.",https://finnhub.io/api/news?id=9a38fde46e11e8530e828c09585fe09185759d48feb246d6a1f5513a00ec90ed
company,1628078100,Zebra Technologies price target raised to $560 from $490 at Baird,69518299,,ZBRA,Thefly.com,Baird analyst Richard Eas... ZBRA,https://finnhub.io/api/news?id=9e6417c8e80a68ae0907830afd0010ee20d5dcf88e3378d41f65bee6964fba89
company,1628057400,Zebra Technologies price target raised to $560 from $490 at Baird,69494696,,ZBRA,Thefly.com,Baird analyst Richard Eas... ZBRA,https://finnhub.io/api/news?id=f65baf0a0cf9a452ad2d57a58ce094458620303166a8f5bf8db0c9ad858abbf2
company,1628020441,"Zebra Technologies Beat On Q2 Earnings Led By Double-Digit Segment Growth, Margin Expansion; Positive Q3 Guidance",69481985,https://s.yimg.com/uu/api/res/1.2/k1E5biT09K8m_Q6LMVLNeA--~B/aD00MDA7dz02MDA7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/Benzinga/6e6cd81c09bbb04688ddff73b8f95012,ZBRA,Yahoo,"View more earnings on ZBRASee more from BenzingaClick here for options trades from BenzingaSabre Shares Fall After Declining To Provide Outlook Due To Uncertainty, Q2 Revenue BeatCorsair Gaming Stock Falls On Q2 Earnings Miss, Expects Logistic Costs And Shutdowns To Weigh On Operations, Reaffirms FY21 Outlook© 2021 Benzinga.com. Benzinga does not provide investment advice. All rights reserved.",https://finnhub.io/api/news?id=8279423ad4b37e8e23013df7fd2c0a9029a7e7f414a255165b657cab59ac91f7
company,1628019037,Zebra Technologies Corporation (ZBRA) Q2 2021 Earnings Call Transcript,69481986,https://s.yimg.com/uu/api/res/1.2/zmj.74VZmDKFyMQXCAbujg--~B/aD0xNDk0O3c9MTQwMDthcHBpZD15dGFjaHlvbg--/https://media.zenfs.com/en/motleyfool.com/e48e86dda35543079ee2080fd9208b73,ZBRA,Yahoo,"ZBRA earnings call for the period ending June 30, 2021.",https://finnhub.io/api/news?id=5a1629c19115940531c0525bf5428ba4a20791dcaaf4cd3dc6f517374b592bb7
